RiderName,RiderTeam,RiderPrice,RiderName_PCS,Points,PointsPerMillion,CheapoEligible
"Welsford, Sam",Red Bull - BORA - hansgrohe,6.4,WELSFORD Sam,50,7.81,N
"Coquard, Bryan",Cofidis,7.5,COQUARD Bryan,41,5.47,N
"Narváez, Jhonatan",UAE Emirates XRG,13.6,NARVÁEZ Jhonatan,36,2.65,N
"Teutenberg, Tim Torn",Lidl - Trek,2.1,TEUTENBERG Tim Torn,34,16.19,Y
"Bauhaus, Phil",Bahrain Victorious,10.3,BAUHAUS Phil,26,2.52,N
"Romo, Javier",Movistar Team,4.3,ROMO Javier,25,5.81,N
"Andresen, Tobias Lund",Team Picnic PostNL,4.4,ANDRESEN Tobias Lund,24,5.45,N
"Strong, Corbin",Israel - Premier Tech,8.5,STRONG Corbin,22,2.59,N
"Watson, Samuel",INEOS Grenadiers,1.5,WATSON Samuel,20,13.33,Y
"Marit, Arne",Intermarché - Wanty,2.5,MARIT Arne,20,8.00,N
"Brennan, Matthew",Team Visma - Lease a Bike,2.9,BRENNAN Matthew,20,6.90,N
"Walls, Matthew",Groupama - FDJ,1.2,WALLS Matthew,19,15.83,Y
"Fisher-Black, Finn",Red Bull - BORA - hansgrohe,7.8,FISHER-BLACK Finn,16,2.05,N
"Uhlig, Henri",Alpecin - Deceuninck,2.1,UHLIG Henri,15,7.14,Y
"Withen Philipsen, Albert",Lidl - Trek,1.1,WITHEN PHILIPSEN Albert,14,12.73,Y
"Swift, Ben",INEOS Grenadiers,1.1,SWIFT Ben,12,10.91,Y
"Gloag, Thomas",Team Visma - Lease a Bike,3.2,GLOAG Thomas,12,3.75,N
"Dehairs, Simon",Alpecin - Deceuninck,1.4,DEHAIRS Simon,10,7.14,Y
"Konrad, Patrick",Lidl - Trek,3.2,KONRAD Patrick,10,3.13,N
"Bagioli, Andrea",Lidl - Trek,7.1,BAGIOLI Andrea,8,1.13,N
"Tronchon, Bastien",Decathlon AG2R La Mondiale,1.1,TRONCHON Bastien,6,5.45,Y
"Oliveira, Rui",UAE Emirates XRG,2.2,OLIVEIRA Rui,6,2.73,Y
"Renard, Alexis",Cofidis,1.8,RENARD Alexis,4,2.22,Y
"Rochas, Rémy",Groupama - FDJ,2.7,ROCHAS Rémy,4,1.48,N
"Mosca, Jacopo",Lidl - Trek,1.1,MOSCA Jacopo,3,2.73,Y
"Godon, Dorian",Decathlon AG2R La Mondiale,6.4,GODON Dorian,3,0.47,N
"Sheffield, Magnus",INEOS Grenadiers,11.0,SHEFFIELD Magnus,3,0.27,N
"Askey, Lewis",Groupama - FDJ,3.8,ASKEY Lewis,2,0.53,N
"Plapp, Luke",Team Jayco AlUla,9.1,PLAPP Luke,2,0.22,N
"Raccagni, Andrea",Soudal - Quick-Step,1.0,RACCAGNI NOVIERO Andrea,1,1.00,Y
"Pooter, Dries De",Intermarché - Wanty,1.1,DE POOTER Dries,1,0.91,Y
"Higuita, Sergio",XDS Astana Team,7.6,HIGUITA Sergio,1,0.13,N
"Fuentes, Angel",Burgos Burpellet BH,1.0,FUENTES Ángel,0,0.00,Y
"Holter, Ådne",Uno-X Mobility,1.0,HOLTER Ådne,0,0.00,Y
"Angulo, Antonio",Burgos Burpellet BH,1.0,ANGULO Antonio,0,0.00,Y
"Arriolabengoa, Julen",Caja Rural - Seguros RGA,1.0,ARRIOLA-BENGOA Julen,0,0.00,Y
"Balderstone, Abel",Caja Rural - Seguros RGA,1.0,BALDERSTONE Abel,0,0.00,Y
"Balmer, Alexandre",Toscana Factory Team Vini Fantini,1.0,BALMER Alexandre,0,0.00,Y
"Bastiaens, Ayco",Soudal - Quick-Step,1.0,BASTIAENS Ayco,0,0.00,Y
"Brunel, Alexys",TotalEnergies,1.0,BRUNEL Alexys,0,0.00,Y
"Buttigieg, Aidan",Team Polti VisitMalta,1.0,BUTTIGIEG Aidan,0,0.00,Y
"Colman, Alex",Team Flanders - Baloise,1.0,COLMAN Alex,0,0.00,Y
"Delaplace, Anthony",Arkéa - BnB Hotels,1.0,DELAPLACE Anthony,0,0.00,Y
"Diaz, Alex",Caja Rural - Seguros RGA,1.0,DIAZ Alex,0,0.00,Y
"Edmondson, Alex",Team Picnic PostNL,1.0,EDMONDSON Alex,0,0.00,Y
"Ganzabal, Ander",Euskaltel - Euskadi,1.0,GANZABAL Ander,0,0.00,Y
"Hellemose, Asbjørn",Team Jayco AlUla,1.0,HELLEMOSE Asbjørn,0,0.00,Y
"Huens, Axel",Unibet Tietema Rockets,1.0,HUENS Axel,0,0.00,Y
"Ibañez, Javier",Caja Rural - Seguros RGA,1.0,IBAÑEZ Javier,0,0.00,Y
"Iacchi, Alessandro",Toscana Factory Team Vini Fantini,1.0,IACCHI Alessandro,0,0.00,Y
"Jansen, Amund Grøndahl",Uno-X Mobility,1.0,JANSEN Amund Grøndahl,0,0.00,Y
"Johannessen, Anders",Uno-X Mobility,1.0,JOHANNESSEN Anders Halland,0,0.00,Y
"Jousseaume, Alan",TotalEnergies,1.0,JOUSSEAUME Alan,0,0.00,Y
