ManagerName,RiderName
Chrelle,"Dewulf, Stan"
Chrelle,"Romeo, Iván"
Chrelle,"Champoussin, Clément"
Chrelle,"Voisard, Yannis"
Chrelle,"Jegat, Jordan"
Chrelle,"Bruttomesso, Alberto"
Chrelle,"Canal, Carlos"
Chrelle,"Buyst, Jasper De"
Chrelle,"Kepplinger, Rainer"
Chrelle,"Pluimers, Rick"
Chrelle,"Artz, Huub"
Chrelle,"Capiot, Amaury"
Chrelle,"Rafferty, Darren"
Chrelle,"Schuyteneer, Steffen De"
Chrelle,"Del Grosso, Tibor"
Chrelle,"Barré, Louis"
Chrelle,"Geniets, Kévin"
Chrelle,"Bekkum, Darren van"
Chrelle,"Gachignard, Thomas"
Chrelle,"Pickering, Finlay"
Chrelle,"Walls, Matthew"
Chrelle,"August, AJ"
Chrelle,"Faure Prost, Alexy"
Chrelle,"Ferron, Valentin"
Chrelle,"Tronchon, Bastien"
Chrelle,"Calzoni, Walter"
Chrelle,"Dejaegher, Jasper"
Chrelle,"Dversnes, Fredrik"
Chrelle,"Meulen, Max van der"
Chrelle,"Thierry, Pierre"
Hustlersen,"Pickrell, Riley"
Hustlersen,"Champoussin, Clément"
Hustlersen,"Voisard, Yannis"
Hustlersen,"Kirsch, Alex"
Hustlersen,"Pedersen, Rasmus Søjberg"
Hustlersen,"Artz, Huub"
Hustlersen,"Bouwman, Koen"
Hustlersen,"Cepeda, Jefferson Alexander"
Hustlersen,"Blikra, Erlend"
Hustlersen,"Foldager, Anders"
Hustlersen,"Quinn, Sean"
Hustlersen,"Langellotti, Victor"
Hustlersen,"Bisiaux, Léo"
Hustlersen,"Hoelgaard, Markus"
Hustlersen,"Wandahl, Frederik"
Hustlersen,"Charmig, Anthon"
Hustlersen,"Walls, Matthew"
Hustlersen,"August, AJ"
Hustlersen,"Bévort, Carl-Frederik"
Hustlersen,"Dalby, Simon"
Hustlersen,"O'Brien, Kelland"
Hustlersen,"Blume Levy, William"
Hustlersen,"Calzoni, Walter"
Hustlersen,"Crabbe, Tom"
Hustlersen,"Dillier, Silvan"
Hustlersen,"Dversnes, Fredrik"
Hustlersen,"Leonard, Michael"
Hustlersen,"Meulen, Max van der"
Hustlersen,"Nielsen, Sebastian"
Hustlersen,"Stokbro, Andreas"
Jappo,"Costiou, Ewen"
Jappo,"Romeo, Iván"
