Navn,Hold,Pris,Løbsdage,Point,Profit,Cheapo,Managers
"Aberasturi, Jon",Euskaltel - Euskadi,2.7,0,0,0.0,,
"Abrahamsen, Jonas",Uno-X Mobility,6.2,5,0,0.0,,Tommy
"Ackermann, Pascal",Israel - Premier Tech,6.6,0,0,0.0,,
"Adrià, Roger",Red Bull - BORA - hansgrohe,6.8,0,0,0.0,,Okholm
"Aert, Wout van",Team Visma - Lease a Bike,37.4,0,0,0.0,,"Chrelle, Jarma, Matti, Okholm, Tommy"
"Affini, Edoardo",Team Visma - Lease a Bike,3.3,0,0,0.0,,
"Agirre, Jon",Euskaltel - Euskadi,1.0,1,0,0.0,Ja,
"Alaphilippe, Julian",Tudor Pro Cycling Team,13.7,0,0,0.0,,
"Albanese, Vincenzo",EF Education - EasyPost,5.9,0,0,0.0,,
"Aleotti, Giovanni",Red Bull - BORA - hansgrohe,2.5,1,0,0.0,,Okholm
"Allegaert, Piet",Cofidis,1.3,0,0,0.0,Ja,
"Alleno, Clément",Burgos Burpellet BH,1.0,1,0,0.0,Ja,
"Almeida, João",UAE Emirates XRG,23.8,1,10,0.4,,"Chrelle, Kenk"
"Alustiza, Nicolás",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"Alvarez, Rodrigo",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Andersen, Søren Kragh",Lidl - Trek,4.5,0,0,0.0,,
"Andresen, Tobias Lund",Team Picnic PostNL,4.4,7,38,8.6,,"Chrelle, Jappo, Kenk, Knak, Matti, Okholm, Tommy, Visti"
"Angulo, Antonio",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Aniołkowski, Stanisław",Cofidis,5.4,0,0,0.0,,
"Aparicio, Mario",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Aranburu, Alex",Cofidis,8.8,0,0,0.0,,
"Arashiro, Yukiya",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Arcas, Jorge",Movistar Team,1.0,1,0,0.0,Ja,
"Arensman, Thymen",INEOS Grenadiers,13.9,1,6,0.4,,
"Armirail, Bruno",Decathlon AG2R La Mondiale,2.8,0,0,0.0,,
"Armitt, Hamish",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Arndt, Nikias",Bahrain Victorious,2.0,6,0,0.0,Ja,
"Arrieta, Igor",UAE Emirates XRG,1.5,0,0,0.0,Ja,
"Arriolabengoa, Julen",Caja Rural - Seguros RGA,1.0,0,0,0.0,Ja,
"Artz, Huub",Intermarché - Wanty,1.8,1,0,0.0,Ja,Jarma
"Asbroeck, Tom Van",Israel - Premier Tech,1.4,0,0,0.0,Ja,
"Asgreen, Kasper",EF Education - EasyPost,6.2,0,0,0.0,,
"Askey, Lewis",Groupama - FDJ,3.8,7,2,0.5,,
"August, AJ",INEOS Grenadiers,1.1,1,0,0.0,Ja,Hustlersen
"Aular, Orluis",Movistar Team,4.1,0,0,0.0,,Visti
"Ayuso, Juan",UAE Emirates XRG,25.2,0,0,0.0,,"Hustlersen, Kenk"
"Azanza, Ibai",Equipo Kern Pharma,1.0,5,0,0.0,Ja,
"Aznar, Hugo",Equipo Kern Pharma,1.0,5,2,2.0,Ja,
"Aznar, Unai",Equipo Kern Pharma,1.0,0,0,0.0,Ja,
"Azparren, Enekoitz",Q36.5 Pro Cycling Team,1.0,0,0,0.0,Ja,
"Azparren, Xabier",Q36.5 Pro Cycling Team,1.0,5,4,4.0,Ja,
"Baarle, Dylan van",Team Visma - Lease a Bike,3.8,2,0,0.0,,"Kenk, Visti"
"Babor, Daniel",Caja Rural - Seguros RGA,1.0,5,0,0.0,Ja,
"Badilatti, Matteo",Q36.5 Pro Cycling Team,1.1,0,0,0.0,Ja,
"Bagioli, Andrea",Lidl - Trek,7.1,7,43,6.1,,"Jarma, Kenk"
"Baguelin, Jocelyn",Wagner Bazin WB,1.0,0,0,0.0,Ja,
"Bais, Davide",Team Polti VisitMalta,1.1,1,0,0.0,Ja,
"Bais, Mattia",Team Polti VisitMalta,1.0,0,0,0.0,Ja,
"Baldaccini, Davide",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Balderstone, Abel",Caja Rural - Seguros RGA,1.0,0,0,0.0,Ja,
"Ballerini, Davide",XDS Astana Team,3.4,0,0,0.0,,
"Balmer, Alexandre",Toscana Factory Team Vini Fantini,1.0,0,0,0.0,Ja,
"Barbier, Pierre",Wagner Bazin WB,1.0,5,10,10.0,Ja,
"Barceló, Fernando",Caja Rural - Seguros RGA,1.3,0,0,0.0,Ja,
"Bardet, Romain",Team Picnic PostNL,9.3,0,0,0.0,,
"Barguil, Warren",Team Picnic PostNL,4.9,0,0,0.0,,
"Baroncini, Filippo",UAE Emirates XRG,3.8,1,0,0.0,,
"Barré, Louis",Intermarché - Wanty,1.5,0,0,0.0,Ja,
"Barrenetxea, Jon",Movistar Team,1.4,0,0,0.0,Ja,
"Barta, Will",Movistar Team,1.9,1,0,0.0,Ja,
"Barthe, Cyril",Groupama - FDJ,1.1,0,0,0.0,Ja,
"Bastiaens, Ayco",Soudal - Quick-Step,1.0,5,0,0.0,Ja,
"Battistella, Samuele",EF Education - EasyPost,3.0,0,0,0.0,,
"Baudin, Alex",EF Education - EasyPost,8.6,0,0,0.0,,
"Bauhaus, Phil",Bahrain Victorious,10.3,6,42,4.1,,
"Bax, Sjoerd",Q36.5 Pro Cycling Team,1.6,0,0,0.0,Ja,
"Bayer, Tobias",Alpecin - Deceuninck,1.2,6,0,0.0,Ja,
"Beadle, Hamish",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Behrens, Niklas",Team Visma - Lease a Bike,1.6,0,0,0.0,,Jappo
"Bekkum, Darren van",XDS Astana Team,1.3,0,0,0.0,Ja,
"Belle, Loe van",Team Visma - Lease a Bike,1.0,5,0,0.0,Ja,
"Beloki, Markel",EF Education - EasyPost,1.1,7,0,0.0,Ja,
"Bennett, George",Israel - Premier Tech,3.1,7,0,0.0,,
"Bennett, Sam",Decathlon AG2R La Mondiale,7.1,0,0,0.0,,
"Benoot, Tiesj",Team Visma - Lease a Bike,9.5,0,0,0.0,,
"Berasategi, Xabier",Euskaltel - Euskadi,1.6,1,0,0.0,Ja,
"Berckmoes, Jenno",Lotto,4.1,0,0,0.0,,
"Berg, Julius van den",Team Picnic PostNL,1.1,7,0,0.0,Ja,
"Berg, Lars van den",Groupama - FDJ,1.0,0,0,0.0,Ja,
"Berg, Marijn van den",EF Education - EasyPost,7.3,0,0,0.0,,
"Berhe, Welay Hagos",Team Jayco AlUla,1.4,0,0,0.0,Ja,
"Bernal, Egan",INEOS Grenadiers,14.5,0,0,0.0,,
"Bernard, Julien",Lidl - Trek,1.1,0,0,0.0,Ja,
"Berrade, Urko",Equipo Kern Pharma,4.6,0,0,0.0,,
"Berthet, Clément",Decathlon AG2R La Mondiale,2.6,0,0,0.0,,
"Berwick, Sebastian",Caja Rural - Seguros RGA,1.3,1,0,0.0,Ja,
"Bettiol, Alberto",XDS Astana Team,6.7,7,0,0.0,,
"Beullens, Cedric",Lotto,1.9,0,0,0.0,Ja,
"Bévort, Carl-Frederik",Uno-X Mobility,1.1,0,0,0.0,Ja,
"Bezza, Quentin",Wagner Bazin WB,1.0,1,0,0.0,Ja,
"Biagini, Frederico",VF Group - Bardiani CSF - Faizanè,1.0,0,0,0.0,Ja,
"Biermans, Jenthe",Arkéa - BnB Hotels,2.0,0,0,0.0,,
"Bilbao, Pello",Bahrain Victorious,17.4,1,12,0.7,,
"Bisiaux, Léo",Decathlon AG2R La Mondiale,1.5,0,0,0.0,Ja,
"Bissegger, Stefan",Decathlon AG2R La Mondiale,4.7,0,0,0.0,,
"Bittner, Pavel",Team Picnic PostNL,7.6,0,0,0.0,,
"Bizkarra, Mikel",Euskaltel - Euskadi,1.1,1,0,0.0,Ja,
"Bjerg, Mikkel",UAE Emirates XRG,5.9,5,0,0.0,,
"Blackmore, Joe",Israel - Premier Tech,7.4,0,0,0.0,,
"Blikra, Erlend",Uno-X Mobility,1.7,0,0,0.0,Ja,
"Bloem, Joren",Unibet Tietema Rockets,1.0,0,0,0.0,Ja,
"Blume Levy, William",Uno-X Mobility,1.0,0,0,0.0,Ja,
"Boivin, Guillaume",Israel - Premier Tech,1.1,0,0,0.0,Ja,
"Bol, Cees",XDS Astana Team,2.6,0,0,0.0,,
"Bomboi, Davide",Unibet Tietema Rockets,1.8,0,0,0.0,Ja,
"Bondt, Dries De",Decathlon AG2R La Mondiale,1.8,0,0,0.0,Ja,
"Boniface, Lucas",TotalEnergies,1.0,5,0,0.0,Ja,
"Bonillo, Iker",Euskaltel - Euskadi,1.0,0,0,0.0,Ja,
"Bonnet, Thomas",TotalEnergies,1.0,0,0,0.0,Ja,
"Bonneu, Kamiel",Intermarché - Wanty,1.1,0,0,0.0,Ja,
"Bossche, Fabio Van den",Alpecin - Deceuninck,1.0,6,0,0.0,Ja,
"Bou, Joan",Caja Rural - Seguros RGA,1.1,1,0,0.0,Ja,
"Bouchard, Geoffrey",Decathlon AG2R La Mondiale,2.3,6,0,0.0,Ja,
"Bouglas, Georgios",Burgos Burpellet BH,1.0,0,0,0.0,Ja,
"Boulahoite, Rayan",TotalEnergies,1.1,0,0,0.0,Ja,
"Bouwman, Koen",Team Jayco AlUla,1.8,0,0,0.0,Ja,
"Boven, Lars",Alpecin - Deceuninck,3.0,7,0,0.0,,
"Boven, Luca Van",Intermarché - Wanty,1.0,0,0,0.0,Ja,
"Braet, Vito",Intermarché - Wanty,4.1,0,0,0.0,,
"Brambilla, Gianluca",Q36.5 Pro Cycling Team,1.6,1,0,0.0,Ja,
"Brand, Sam",Team Novo Nordisk,1.0,0,0,0.0,Ja,
"Braz Afonso, Clément",Groupama - FDJ,1.3,0,0,0.0,Ja,
"Brennan, Matthew",Team Visma - Lease a Bike,2.9,6,20,6.9,,"Chrelle, Hustlersen, Kenk"
"Brenner, Marco",Tudor Pro Cycling Team,1.7,0,0,0.0,,Hustlersen
"Broek, Frank van den",Team Picnic PostNL,3.6,5,18,5.0,,Okholm
"Brunel, Alexys",TotalEnergies,1.0,0,0,0.0,Ja,
"Brustenga, Marc",Equipo Kern Pharma,1.1,5,6,5.5,Ja,
"Bruttomesso, Alberto",Bahrain Victorious,2.0,5,8,4.0,Ja,
"Buchmann, Emanuel",Cofidis,3.8,0,0,0.0,,
