RACE,YEAR,STAGE_ID,STAGE_DATE,STAGE_NAME,STAGE_PROFILE,STAGE_TYPE,RANK,RIDER,TEAM,UCI_POINTS,PCS_POINTS,UPDATE_TIMESTAMP
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,1,Merlier Tim,Soudal Quick-Step,14.0,20.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,2,Molano Juan Sebastián,UAE Team Emirates - XRG,5.0,12.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,3,Zijlaard Maikel,Tudor Pro Cycling Team,3.0,7.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,4,Moschetti Matteo,Q36.5 Pro Cycling Team,,5.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,5,Groenewegen Dylan,Team Jayco AlUla,,4.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,6,Walscheid Max,Team Jayco AlUla,,3.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,7,Barbier Pierre,Wagner Bazin WB,,2.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,8,Bruttomesso Alberto,Bahrain - Victorious,,1.0,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,9,Weemaes Sasha,Wagner Bazin WB,,,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,10,D'Amato Andrea,JCL Team UKYO,,,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,11,Jakobsen Fabio,Team Picnic PostNL,,,2025-09-02 20:39:41
alula-tour,2025,1,2025-01-28,Stage 1,"",Normal stage,12,Darder Sergi,Caja Rural - Seguros RGA,,,2025-09-02 20:39:41
