RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
bretagne-classic,2025,99,Result,Result,2025-08-31,1,De Lie ArnaudLotto,Lotto,400,225,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,2,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,320,150,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,3,Kooij OlavTeam Visma | Lease a Bike,Team Visma | Lease a Bike,260,110,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,4,Magnier PaulSoudal Quick-Step,Soudal Quick-Step,220,90,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,5,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,180,80,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,6,Pluimers RickTudor Pro Cycling Team,Tudor Pro Cycling Team,140,70,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,7,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,120,60,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,8,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,100,50,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,9,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,80,46,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,10,Stuyven JasperLidl - Trek,Lidl - Trek,68,42,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,11,Dujardin SandyTeam TotalEnergies,Team TotalEnergies,56,38,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,12,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,48,34,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,13,Turgis AnthonyTeam TotalEnergies,Team TotalEnergies,40,30,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,14,Magli FilippoVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,32,26,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,15,Neilands KristsIsrael - Premier Tech,Israel - Premier Tech,28,22,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,16,Venturini ClémentArkéa - B&B Hotels,Arkéa - B&B Hotels,24,20,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,17,Velasco SimoneXDS Astana Team,XDS Astana Team,24,18,2025-09-02 20:26:18
bretagne-classic,2025,99,Result,Result,2025-08-31,18,Meurisse XandroAlpecin - Deceuninck,Alpecin - Deceuninck,24,17,2025-09-02 20:26:18
