RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
copenhagen-sprint,2025,99,Result,Result,2025-06-22,1,Meeus JordiRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,300,225,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,2,Renard AlexisCofidis,Cofidis,250,150,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,3,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,215,110,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,4,Démare ArnaudArkéa - B&B Hotels,Arkéa - B&B Hotels,175,90,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,5,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,120,80,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,6,Page HugoIntermarché - Wanty,Intermarché - Wanty,115,70,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,7,Groenewegen DylanTeam Jayco AlUla,Team Jayco AlUla,95,60,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,8,Bauhaus PhilBahrain - Victorious,Bahrain - Victorious,75,50,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,9,Aniołkowski StanisławCofidis,Cofidis,60,46,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,10,Wærenskjold SørenUno-X Mobility,Uno-X Mobility,50,42,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,11,Rex LaurenzIntermarché - Wanty,Intermarché - Wanty,40,38,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,12,Pedersen Rasmus SøjbergDenmark,Denmark,35,34,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,13,Peñalver ManuelTeam Polti VisitMalta,Team Polti VisitMalta,30,30,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,14,Pickrell RileyIsrael - Premier Tech,Israel - Premier Tech,25,26,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,15,Del Grosso TiborAlpecin - Deceuninck,Alpecin - Deceuninck,20,22,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,16,Lonardi GiovanniTeam Polti VisitMalta,Team Polti VisitMalta,20,20,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,17,Menten MilanLotto,Lotto,20,18,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,18,Parisini NicolòQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,20,17,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,19,Mozzato LucaArkéa - B&B Hotels,Arkéa - B&B Hotels,20,16,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,20,Liepiņš EmīlsQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,20,15,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,21,Budding MartijnUnibet Tietema Rockets,Unibet Tietema Rockets,12,14,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,22,Hennequin PaulEuskaltel - Euskadi,Euskaltel - Euskadi,12,13,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,23,Nielsen SebastianUnibet Tietema Rockets,Unibet Tietema Rockets,12,12,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,24,McLay DanielTeam Visma | Lease a Bike,Team Visma | Lease a Bike,12,11,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,25,Rajović DušanTeam Solution Tech - Vini Fantini,Team Solution Tech - Vini Fantini,12,10,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,26,Berasategi XabierEuskaltel - Euskadi,Euskaltel - Euskadi,12,9,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,27,Plowright Jensen Alpecin - Deceuninck,Alpecin - Deceuninck,12,8,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,28,Molenaar AlexCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,12,7,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,29,Maestri MircoTeam Polti VisitMalta,Team Polti VisitMalta,12,6,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,30,Angulo AntonioBurgos Burpellet BH,Burgos Burpellet BH,12,5,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,31,Fuentes ÁngelBurgos Burpellet BH,Burgos Burpellet BH,5,5,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,32,Fredheim StianUno-X Mobility,Uno-X Mobility,5,5,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,33,Blikra ErlendUno-X Mobility,Uno-X Mobility,5,5,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,34,Viviani EliaLotto,Lotto,5,5,2025-08-25 12:59:58
copenhagen-sprint,2025,99,Result,Result,2025-06-22,35,Sevilla Diego PabloTeam Polti VisitMalta,Team Polti VisitMalta,5,5,2025-08-25 12:59:58
