RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,1,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,300,225,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,2,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,250,150,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,3,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,215,110,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,4,Jorgenson MatteoTeam Visma | Lease a Bike,Team Visma | Lease a Bike,175,90,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,5,Pedersen MadsLidl - Trek,Lidl - Trek,120,80,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,6,Del Grosso TiborAlpecin - Deceuninck,Alpecin - Deceuninck,115,70,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,7,De Bondt DriesDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,95,60,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,8,Livyns ArjenLotto,Lotto,75,50,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,9,Küng StefanGroupama - FDJ,Groupama - FDJ,60,46,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,10,Segaert AlecLotto,Lotto,50,42,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,11,Tiller RasmusUno-X Mobility,Uno-X Mobility,40,38,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,12,Gautherat PierreDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,35,34,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,13,Bol CeesXDS Astana Team,XDS Astana Team,30,30,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,14,van den Berg MarijnEF Education - EasyPost,EF Education - EasyPost,25,26,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,15,van Dijke MickRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,20,22,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,16,Wright FredBahrain - Victorious,Bahrain - Victorious,20,20,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,17,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,20,18,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,18,Stuyven JasperLidl - Trek,Lidl - Trek,20,17,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,19,Lampaert YvesSoudal Quick-Step,Soudal Quick-Step,20,16,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,20,Blackmore JosephIsrael - Premier Tech,Israel - Premier Tech,20,15,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,21,Bjerg MikkelUAE Team Emirates - XRG,UAE Team Emirates - XRG,12,14,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,22,Honoré Mikkel FrølichEF Education - EasyPost,EF Education - EasyPost,12,13,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,23,van Baarle DylanTeam Visma | Lease a Bike,Team Visma | Lease a Bike,12,12,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,24,Coquard BryanCofidis,Cofidis,12,11,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,25,Sheffield MagnusINEOS Grenadiers,INEOS Grenadiers,12,10,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,26,Hoelgaard MarkusUno-X Mobility,Uno-X Mobility,12,9,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,27,Pluimers RickTudor Pro Cycling Team,Tudor Pro Cycling Team,12,8,2025-08-25 12:54:47
dwars-door-vlaanderen,2025,99,Result,Result,2025-04-02,28,Rex LaurenzIntermarché - Wanty,Intermarché - Wanty,12,7,2025-08-25 12:54:47
