RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gp-montreal,2025,99,Result,Result,2025-09-14,1,McNulty BrandonUAE Team Emirates - XRG,UAE Team Emirates - XRG,500,225,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,2,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,400,150,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,3,Simmons QuinnLidl - Trek,Lidl - Trek,325,110,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,4,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,275,90,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,5,Yates AdamUAE Team Emirates - XRG,UAE Team Emirates - XRG,225,80,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,6,Barré LouisIntermarché - Wanty,Intermarché - Wanty,175,70,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,7,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,150,60,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,8,Aranburu AlexCofidis,Cofidis,125,50,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,9,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,100,46,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,10,Bettiol AlbertoXDS Astana Team,XDS Astana Team,85,42,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,11,Narváez JhonatanUAE Team Emirates - XRG,UAE Team Emirates - XRG,70,38,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,12,Hermans QuintenAlpecin - Deceuninck,Alpecin - Deceuninck,60,34,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,13,Izagirre IonCofidis,Cofidis,50,30,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,14,Zana FilippoTeam Jayco AlUla,Team Jayco AlUla,40,26,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,15,Madouas ValentinGroupama - FDJ,Groupama - FDJ,35,22,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,16,Costiou EwenArkéa - B&B Hotels,Arkéa - B&B Hotels,30,20,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,17,Skjelmose MattiasLidl - Trek,Lidl - Trek,30,18,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,18,Baudin AlexEF Education - EasyPost,EF Education - EasyPost,30,17,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,19,Onley OscarTeam Picnic PostNL,Team Picnic PostNL,30,16,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,20,Sivakov PavelUAE Team Emirates - XRG,UAE Team Emirates - XRG,30,15,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,21,Berthet ClémentDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,20,14,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,22,Honoré Mikkel FrølichEF Education - EasyPost,EF Education - EasyPost,20,13,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,23,Sheehan RileyIsrael - Premier Tech,Israel - Premier Tech,20,12,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,24,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,20,11,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,25,van den Broek Frank Team Picnic PostNL,Team Picnic PostNL,20,10,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,26,Charmig AnthonXDS Astana Team,XDS Astana Team,20,9,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,27,Kamp AlexanderIntermarché - Wanty,Intermarché - Wanty,20,8,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,28,Bilbao PelloBahrain - Victorious,Bahrain - Victorious,20,7,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,29,De Lie ArnaudLotto,Lotto,20,6,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,30,Abrahamsen JonasUno-X Mobility,Uno-X Mobility,20,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,31,Velasco SimoneXDS Astana Team,XDS Astana Team,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,32,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,33,Nordhagen Jørgen Team Visma | Lease a Bike,Team Visma | Lease a Bike,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,34,Warbasse LarryTudor Pro Cycling Team,Tudor Pro Cycling Team,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,35,Zambanini EdoardoBahrain - Victorious,Bahrain - Victorious,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,36,Maisonobe SamCofidis,Cofidis,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,37,Le Berre MathisArkéa - B&B Hotels,Arkéa - B&B Hotels,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,38,Svestad-Bårdseng Embret Arkéa - B&B Hotels,Arkéa - B&B Hotels,10,5,2025-09-22 22:55:56
gp-montreal,2025,99,Result,Result,2025-09-14,39,Pedrero AntonioMovistar Team,Movistar Team,10,5,2025-09-22 22:55:56
