RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gp-quebec,2025,99,Result,Result,2025-09-12,1,Alaphilippe JulianTudor Pro Cycling Team,Tudor Pro Cycling Team,500,225,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,2,Sivakov PavelUAE Team Emirates - XRG,UAE Team Emirates - XRG,400,150,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,3,Bettiol AlbertoXDS Astana Team,XDS Astana Team,325,110,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,4,Skjelmose MattiasLidl - Trek,Lidl - Trek,275,90,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,5,Mohorič MatejBahrain - Victorious,Bahrain - Victorious,225,80,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,6,Hermans QuintenAlpecin - Deceuninck,Alpecin - Deceuninck,175,70,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,7,Charmig AnthonXDS Astana Team,XDS Astana Team,150,60,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,8,De Lie ArnaudLotto,Lotto,125,50,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,9,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,100,46,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,10,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,85,42,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,11,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,70,38,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,12,Lapeira PaulDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,60,34,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,13,Vermeersch GianniAlpecin - Deceuninck,Alpecin - Deceuninck,50,30,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,14,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,40,26,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,15,Wright FredBahrain - Victorious,Bahrain - Victorious,35,22,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,16,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,30,20,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,17,Madouas ValentinGroupama - FDJ,Groupama - FDJ,30,18,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,18,Zambanini EdoardoBahrain - Victorious,Bahrain - Victorious,30,17,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,19,Velasco SimoneXDS Astana Team,XDS Astana Team,30,16,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,20,Narváez JhonatanUAE Team Emirates - XRG,UAE Team Emirates - XRG,30,15,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,21,Adrià RogerRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,20,14,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,22,Bilbao PelloBahrain - Victorious,Bahrain - Victorious,20,13,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,23,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,20,12,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,24,Aranburu AlexCofidis,Cofidis,20,11,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,25,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,20,10,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,26,Berckmoes JennoLotto,Lotto,20,9,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,27,Geniets KevinGroupama - FDJ,Groupama - FDJ,20,8,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,28,Yates AdamUAE Team Emirates - XRG,UAE Team Emirates - XRG,20,7,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,29,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,20,6,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,30,Le Berre MathisArkéa - B&B Hotels,Arkéa - B&B Hotels,20,5,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,31,Zana FilippoTeam Jayco AlUla,Team Jayco AlUla,10,5,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,32,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,10,5,2025-09-14 20:40:13
gp-quebec,2025,99,Result,Result,2025-09-12,33,Eulálio AfonsoBahrain - Victorious,Bahrain - Victorious,10,5,2025-09-14 20:40:13
