RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gp-samyn,2025,99,Result,Result,2025-03-04,1,van der Poel MathieuAlpecin - Deceuninck,Alpecin - Deceuninck,125,75,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,2,Magnier PaulSoudal Quick-Step,Soudal Quick-Step,85,55,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,3,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,70,40,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,4,Biermans JentheArkéa - B&B Hotels,Arkéa - B&B Hotels,60,32,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,5,Askey LewisGroupama - FDJ,Groupama - FDJ,50,28,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,6,Fredheim StianUno-X Mobility,Uno-X Mobility,40,24,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,7,Hofstetter HugoIsrael Premier Tech Academy,Israel Premier Tech Academy,35,20,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,8,Romele AlessandroXDS Astana Team,XDS Astana Team,30,18,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,9,Capiot AmauryArkéa - B&B Hotels,Arkéa - B&B Hotels,25,16,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,10,Kubiš LukášUnibet Tietema Rockets,Unibet Tietema Rockets,20,14,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,11,Kopecký MatyášTeam Novo Nordisk,Team Novo Nordisk,15,12,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,12,Marit ArneIntermarché - Wanty,Intermarché - Wanty,10,10,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,13,Van Mechelen VladBahrain - Victorious,Bahrain - Victorious,5,8,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,14,De Lie ArnaudLotto,Lotto,5,7,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,15,Van Boven LucaIntermarché - Wanty,Intermarché - Wanty,5,6,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,16,Hesters JulesTeam Flanders - Baloise,Team Flanders - Baloise,3,5,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,17,Vanhoof WardTeam Flanders - Baloise,Team Flanders - Baloise,3,4,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,18,Buratti NicolòBahrain - Victorious,Bahrain - Victorious,3,3,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,19,Segaert AlecLotto,Lotto,3,2,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,20,Resell Erik NordsæterUno-X Mobility,Uno-X Mobility,3,1,2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,21,Huens AxelUnibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,22,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,3,"",2025-09-02 20:42:57
gp-samyn,2025,99,Result,Result,2025-03-04,23,Kielich TimoAlpecin - Deceuninck,Alpecin - Deceuninck,3,"",2025-09-02 20:42:57
