RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,1,Nys ThibauLidl - Trek,Lidl - Trek,200,125,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,2,Molenaar AlexCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,150,85,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,3,Bagioli AndreaLidl - Trek,Lidl - Trek,125,60,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,4,Silva Guillermo ThomasCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,100,50,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,5,Aranburu AlexCofidis,Cofidis,85,45,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,6,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,70,40,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,7,Großschartner FelixUAE Team Emirates - XRG,UAE Team Emirates - XRG,60,35,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,8,Velasco SimoneXDS Astana Team,XDS Astana Team,50,30,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,9,Baudin AlexEF Education - EasyPost,EF Education - EasyPost,40,26,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,10,Miquel PauEquipo Kern Pharma,Equipo Kern Pharma,35,22,2025-09-02 20:45:30
gran-premio-miguel-indurain,2025,99,Result,Result,2025-04-05,11,Ryan ArchieEF Education - EasyPost,EF Education - EasyPost,30,20,2025-09-02 20:45:30
