RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,1,Van Gils MaximRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,20,30,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,2,Wellens TimUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,15,18,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,3,Sivakov PavelUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,10,12,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,4,Soler MarcUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,5,7,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,5,Berthet ClémentDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,3,4,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,6,Leknessund Andreas Uno-X Mobilityfav_gc,Uno-X Mobility,"",3,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,7,Cras SteffTeam TotalEnergiesfav_gc,Team TotalEnergies,"",2,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,8,Pidcock ThomasQ36.5 Pro Cycling Teamfav_gc,Q36.5 Pro Cycling Team,"",1,2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,9,Arrieta IgorUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,10,Gachignard ThomasTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,11,Staune-Mittet JohannesDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,12,Hoelgaard MarkusUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,13,Labrosse JordanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,14,Silva Guillermo Thomas Caja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,15,Johannessen Tobias HallandUno-X Mobilityfav_gc,Uno-X Mobility,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,16,Prodhomme NicolasDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,17,Quintana NairoMovistar Team,Movistar Team,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,18,Parra José FélixEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,19,Double PaulTeam Jayco AlUlafav_gc,Team Jayco AlUla,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,20,Carboni GiovanniUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,21,Torres PabloUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,22,Díaz José ManuelBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,23,Johannessen Anders HallandUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,24,Swift ConnorINEOS Grenadiers,INEOS Grenadiers,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,25,De Tier FlorisWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,26,Gutiérrez JorgeEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,27,Scotson CallumDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,28,Holter ÅdneUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,29,Aleotti GiovanniRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,30,Christophersen Cedrik BakkeUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,31,Okamika Ander Burgos Burpellet BH,Burgos Burpellet BH,"","",2025-08-25 12:50:53
ruta-del-sol,2025,1,Stage 1,Normal stage,19/02,32,Jasch LennartRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:50:53
