RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
scheldeprijs,2025,99,Result,Result,2025-04-09,1,Merlier TimSoudal Quick-Step,Soudal Quick-Step,200,125,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,2,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,150,85,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,3,Moschetti MatteoQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,125,60,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,4,Fretin MilanCofidis,Cofidis,100,50,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,5,van Poppel DannyRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,85,45,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,6,Aniołkowski StanisławCofidis,Cofidis,70,40,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,7,Kanter MaxXDS Astana Team,XDS Astana Team,60,35,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,8,Kristoff AlexanderUno-X Mobility,Uno-X Mobility,50,30,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,9,Bittner PavelTeam Picnic PostNL,Team Picnic PostNL,40,26,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,10,Weemaes SashaWagner Bazin WB,Wagner Bazin WB,35,22,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,11,Galván FranciscoEquipo Kern Pharma,Equipo Kern Pharma,30,20,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,12,Groenewegen DylanTeam Jayco AlUla,Team Jayco AlUla,25,18,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,13,Vernon EthanIsrael - Premier Tech,Israel - Premier Tech,20,16,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,14,van den Berg JuliusTeam Picnic PostNL,Team Picnic PostNL,15,14,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,15,Tesson JasonTeam TotalEnergies,Team TotalEnergies,10,12,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,16,Brustenga MarcEquipo Kern Pharma,Equipo Kern Pharma,5,10,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,17,Theuns EdwardLidl - Trek,Lidl - Trek,5,9,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,18,Beullens CedricLotto,Lotto,5,8,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,19,Kogut OdedIsrael - Premier Tech,Israel - Premier Tech,5,7,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,20,Thornley CallumRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,5,6,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,21,Colman AlexTeam Flanders - Baloise,Team Flanders - Baloise,5,5,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,22,Lambrecht MichielWagner Bazin WB,Wagner Bazin WB,5,4,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,23,Soto Antonio JesúsEquipo Kern Pharma,Equipo Kern Pharma,5,3,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,24,Reinders ElmarTeam Jayco AlUla,Team Jayco AlUla,5,2,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,25,Dissel BramBEAT Cycling Club,BEAT Cycling Club,5,1,2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,26,Consonni SimoneLidl - Trek,Lidl - Trek,5,"",2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,27,Desal Ceriel Wagner Bazin WB,Wagner Bazin WB,5,"",2025-08-25 12:55:33
scheldeprijs,2025,99,Result,Result,2025-04-09,28,Declercq TimLidl - Trek,Lidl - Trek,5,"",2025-08-25 12:55:33
