RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
strade-bianche,2025,99,Result,Result,2025-03-08,1,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,400,225,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,2,Pidcock ThomasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,320,150,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,3,Wellens TimUAE Team Emirates - XRG,UAE Team Emirates - XRG,260,110,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,4,Healy BenEF Education - EasyPost,EF Education - EasyPost,220,90,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,5,Bilbao PelloBahrain - Victorious,Bahrain - Victorious,180,80,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,6,Cort MagnusUno-X Mobility,Uno-X Mobility,140,70,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,7,Vermeersch GianniAlpecin - Deceuninck,Alpecin - Deceuninck,120,60,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,8,Valgren MichaelEF Education - EasyPost,EF Education - EasyPost,100,50,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,9,Van Eetvelt LennertLotto,Lotto,80,46,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,10,Adrià RogerRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,68,42,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,11,Landa MikelSoudal Quick-Step,Soudal Quick-Step,56,38,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,12,Skujiņš TomsLidl - Trek,Lidl - Trek,48,34,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,13,Swift Connor INEOS Grenadiers,INEOS Grenadiers,40,30,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,14,Formolo DavideMovistar Team,Movistar Team,32,26,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,15,Hermans QuintenAlpecin - Deceuninck,Alpecin - Deceuninck,28,22,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,16,Vendrame AndreaDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,24,20,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,17,Labrosse JordanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,24,18,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,18,Vermeersch FlorianUAE Team Emirates - XRG,UAE Team Emirates - XRG,24,17,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,19,Askey Lewis Groupama - FDJ,Groupama - FDJ,24,16,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,20,Vauquelin KévinArkéa - B&B Hotels,Arkéa - B&B Hotels,24,15,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,21,Dversnes FredrikUno-X Mobility,Uno-X Mobility,16,14,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,22,Valter AttilaTeam Visma | Lease a Bike,Team Visma | Lease a Bike,16,13,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,23,Johannessen Tobias HallandUno-X Mobility,Uno-X Mobility,16,12,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,24,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,16,11,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,25,Withen Philipsen AlbertLidl - Trek,Lidl - Trek,16,10,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,26,Tronchon BastienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,16,9,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,27,Donovan Mark Q36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,16,8,2025-09-02 20:43:09
strade-bianche,2025,99,Result,Result,2025-03-08,28,Johannessen Anders HallandUno-X Mobility,Uno-X Mobility,16,7,2025-09-02 20:43:09
