RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,1,Ganna FilippoINEOS Grenadiers,INEOS Grenadiers,60,50,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,2,Ayuso JuanUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,40,30,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,3,Price-Pejtersen JohanAlpecin - Deceuninck,Alpecin - Deceuninck,30,18,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,4,Tiberi AntonioBahrain - Victoriousfav_gc,Bahrain - Victorious,25,13,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,5,Milan JonathanLidl - Trek,Lidl - Trek,20,10,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,6,Gee DerekIsrael - Premier Techfav_gc,Israel - Premier Tech,15,7,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,7,Cattaneo MattiaSoudal Quick-Step,Soudal Quick-Step,10,4,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,8,Wærenskjold SørenUno-X Mobility,Uno-X Mobility,8,3,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,9,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,2,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,10,Vauquelin KévinArkéa - B&B Hotels,Arkéa - B&B Hotels,2,1,2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,11,Azparren Xabier MikelQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,12,Thomas BenjaminCofidis,Cofidis,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,13,Dunbar EddieTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,14,Sütterlin JashaTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,15,De Plus LaurensINEOS Grenadiersfav_gc,INEOS Grenadiers,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,16,Zijlaard MaikelTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,17,Rivera Brandon SmithINEOS Grenadiers,INEOS Grenadiers,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,18,Reinders ElmarTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,19,Healy BenEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,20,Großschartner FelixUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,21,Cort MagnusUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,22,Dversnes FredrikUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,23,Grégoire RomainGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,24,Stork FlorianTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,25,Skujiņš TomsLidl - Trek,Lidl - Trek,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,26,de la Cruz DavidQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,27,Bilbao PelloBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,28,Yates SimonTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,29,Ciccone GiulioLidl - Trekfav_gc,Lidl - Trek,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,30,Hindley JaiRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,31,Izagirre IonCofidis,Cofidis,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,32,Moscon GianniRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,33,Maciejuk FilipRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,34,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,35,Howson DamienQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,36,Russo ClémentGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,37,Černý JosefSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,38,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,39,Landa MikelSoudal Quick-Stepfav_gc,Soudal Quick-Step,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,40,Yates AdamUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,41,Caruso DamianoBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,42,Frigo MarcoIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,43,van Dijke TimRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,44,De Bondt DriesDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,45,Delaplace AnthonyArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,46,Zukowsky NickolasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,47,Holter ÅdneUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,48,Maestri MircoTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,49,Pidcock ThomasQ36.5 Pro Cycling Teamfav_gc,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,50,Oliveira RuiUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,51,Pluimers RickTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,52,Ghebreigzabhier AmanuelLidl - Trek,Lidl - Trek,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,53,Vendrame AndreaDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:53:09
tirreno-adriatico,2025,1,Stage 1 (ITT),ITT,10/03,53,Carapaz RichardEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 12:53:09
