RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,1,Bennett SamDecathlon AG2R La Mondiale Teamfav_gc,Decathlon AG2R La Mondiale Team,14,20,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,2,Kubiš LukášUnibet Tietema Rockets,Unibet Tietema Rockets,5,12,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,3,Renard AlexisCofidis,Cofidis,3,7,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,4,Russo ClémentGroupama - FDJ,Groupama - FDJ,"",5,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,5,Pedersen MadsLidl - Trekfav_gc,Lidl - Trek,"",4,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,6,van den Berg MarijnEF Education - EasyPostfav_gc,EF Education - EasyPost,"",3,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,7,Stewart JakeIsrael - Premier Tech,Israel - Premier Tech,"",2,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,8,Gruel ThibaudGroupama - FDJ,Groupama - FDJ,"",1,2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,9,Burgaudeau MathieuTeam TotalEnergiesfav_gc,Team TotalEnergies,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,10,Wright FredBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,11,Gautherat PierreDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,12,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,13,García Pierna RaúlArkéa - B&B Hotelsfav_gc,Arkéa - B&B Hotels,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,14,Mohorič MatejBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,15,Tizza MarcoWagner Bazin WB,Wagner Bazin WB,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,16,Vadic BaptisteTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,17,Guglielmi SimonArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,18,Ferron ValentinCofidis,Cofidis,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,19,Gibbons RyanLidl - Trek,Lidl - Trek,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,20,Bloem JorenUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,21,Kopecký TomášUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,22,Simmons ColbyEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,23,Beneteau LucasSt Michel - Preference Home - Auber93,St Michel - Preference Home - Auber93,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,24,Costiou EwenArkéa - B&B Hotelsfav_gc,Arkéa - B&B Hotels,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,25,Årnes DanielVan Rysel Roubaix,Van Rysel Roubaix,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,26,de Vries HartthijsUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,27,Cepeda Jefferson AlexanderEF Education - EasyPostfav_gc,EF Education - EasyPost,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,28,Zamperini EdoardoArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,29,Le Gac OlivierGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,30,Kirsch AlexLidl - Trekfav_gc,Lidl - Trek,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,31,Touzé DamienCofidisfav_gc,Cofidis,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,32,Louvel MatisIsrael - Premier Tech,Israel - Premier Tech,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,33,De Pestel SanderDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,34,Rafferty DarrenEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,35,Skujiņš TomsLidl - Trek,Lidl - Trek,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,36,Leroux SamuelTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,37,Doull OwainEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,38,Molly KennyVan Rysel Roubaix,Van Rysel Roubaix,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,39,Vercher MattéoTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,40,Girard DamienNice Métropole Côte d'Azur,Nice Métropole Côte d'Azur,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,41,Juillard MaximilienVan Rysel Roubaix,Van Rysel Roubaix,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,42,Mollema BaukeLidl - Trekfav_gc,Lidl - Trek,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,43,Bernard JulienLidl - Trek,Lidl - Trek,"","",2025-09-02 20:40:52
tour-cycliste-international-la-provence,2025,1,Stage 1,Normal stage,14/02,44,Langella LenaicCIC - U - Nantes,CIC - U - Nantes,"","",2025-09-02 20:40:52
