RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-de-romandie,2025,1,Prologue,Prologue,29/04,1,Watson SamuelINEOS Grenadiers,INEOS Grenadiers,60,50,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,2,Oliveira IvoUAE Team Emirates - XRG,UAE Team Emirates - XRG,40,30,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,3,Romeo IvánMovistar Teamfav_gc,Movistar Team,30,18,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,4,Bissegger StefanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,25,13,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,5,Zijlaard MaikelTudor Pro Cycling Team,Tudor Pro Cycling Team,20,10,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,6,Küng StefanGroupama - FDJ,Groupama - FDJ,15,7,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,7,Guernalec ThibaultArkéa - B&B Hotels,Arkéa - B&B Hotels,10,4,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,8,Evenepoel RemcoSoudal Quick-Stepfav_gc,Soudal Quick-Step,8,3,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,9,Vine JayUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,2,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,10,Christen JanUAE Team Emirates - XRG,UAE Team Emirates - XRG,2,1,2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,11,Almeida JoãoUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,12,Bittner PavelTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,13,Shmidt ArtemINEOS Grenadiers,INEOS Grenadiers,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,14,Vlasov AleksandrRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,15,Brennan MatthewTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,16,Martinez LennyBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,17,Bettiol AlbertoXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,18,Capiot AmauryArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,19,Tejada HaroldXDS Astana Teamfav_gc,XDS Astana Team,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,20,Eenkhoorn PascalSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,21,Cosnefroy BenoîtDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,22,Mollema BaukeLidl - Trek,Lidl - Trek,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,23,Černý JosefSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,24,Germani LorenzoGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,25,Artz HuubIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,26,Großschartner FelixUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,27,Paret-Peintre AurélienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,28,Pedersen CasperSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,29,Stewart CampbellTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,30,Lozouet LéandreArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,31,Hajek AlexanderRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,32,Cavagna RémiGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,33,Baudin AlexEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,34,Maciejuk FilipRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,35,Haig JackBahrain - Victorious,Bahrain - Victorious,"","",2025-09-02 20:47:09
tour-de-romandie,2025,1,Prologue,Prologue,29/04,36,Van Eetvelt LennertLottofav_gc,Lotto,"","",2025-09-02 20:47:09
