RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,1,Merlier TimSoudal Quick-Step,Soudal Quick-Step,20,30,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,2,Molano Juan SebastiánUAE Team Emirates - XRG,UAE Team Emirates - XRG,15,18,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,3,Vernon EthanIsrael - Premier Tech,Israel - Premier Tech,10,12,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,4,Gaviria FernandoMovistar Team,Movistar Team,5,7,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,5,Dainese AlbertoTudor Pro Cycling Team,Tudor Pro Cycling Team,3,4,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,6,Tesson JasonTeam TotalEnergies,Team TotalEnergies,"",3,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,7,Teutenberg Tim TornLidl - Trek,Lidl - Trek,"",2,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,8,van Uden CasperTeam Picnic PostNL,Team Picnic PostNL,"",1,2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,9,Van Hautegem LeanderWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,10,Van Boven LucaIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,11,Bomboi DavideUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,12,Kopecký MatyášTeam Novo Nordisk,Team Novo Nordisk,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,13,De Vylder LindsayTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,14,Hesters JulesTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,15,Dupont TimothyTarteletto - Isorex,Tarteletto - Isorex,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,16,Geens JonasTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,17,De Schuyteneer SteffenLotto,Lotto,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,18,Nuyens WiesPauwels Sauzen - Cibel Clementines,Pauwels Sauzen - Cibel Clementines,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,19,Van Den Boer SeppeBaloise Glowi Lions,Baloise Glowi Lions,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,20,De Meester LucaWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,21,Braet VitoIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,22,De Bruyckere KayPauwels Sauzen - Cibel Clementines,Pauwels Sauzen - Cibel Clementines,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,23,Eekhoff NilsTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,24,van Sintmaartensdijk DaanBEAT Cycling Club,BEAT Cycling Club,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,25,Vanthourenhout MichaelPauwels Sauzen - Cibel Clementines,Pauwels Sauzen - Cibel Clementines,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,26,Santy ArneTarteletto - Isorex,Tarteletto - Isorex,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,27,Currie LoganLotto,Lotto,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,28,Taminiaux LionelLotto,Lotto,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,29,Van Asbroeck TomIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,30,Turner BenINEOS Grenadiers,INEOS Grenadiers,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,31,Marit ArneIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,32,Hoogendoorn RoyMetec - SOLARWATT p/b Mantel,Metec - SOLARWATT p/b Mantel,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,33,García Cortina IvánMovistar Team,Movistar Team,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,34,Aular OrluisMovistar Teamfav_gc,Movistar Team,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,35,Persico DavideWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,36,Berckmoes JennoLottofav_gc,Lotto,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,37,Peron AndreaTeam Novo Nordisk,Team Novo Nordisk,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,38,Sentjens SenteAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,39,Aerts ToonLotto,Lotto,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,40,Reynders JensWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,41,Lambrecht MichielWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,42,Maris EliasTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:59:35
tour-of-belgium,2025,1,Stage 1,Normal stage,18/06,43,Canal CarlosMovistar Teamfav_gc,Movistar Team,"","",2025-08-25 12:59:35
