RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,1,Kooij OlavTeam Visma | Lease a Bike,Team Visma | Lease a Bike,20,30,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,2,Gudmestad TordDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,18,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,3,Hofstetter HugoIsrael - Premier Tech,Israel - Premier Tech,10,12,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,4,Teutenberg Tim TornLidl - Trek,Lidl - Trek,5,7,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,5,Dainese AlbertoTudor Pro Cycling Team,Tudor Pro Cycling Team,3,4,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,6,Watson SamuelINEOS Grenadiersfav_gc,INEOS Grenadiers,"",3,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,7,Crabbe TomTeam Flanders - Baloise,Team Flanders - Baloise,"",2,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,8,Kristoff AlexanderUno-X Mobility,Uno-X Mobility,"",1,2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,9,Townsend RoryQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,10,Hesters JulesTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,11,Oliveira RuiUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,12,Menten MilanLotto,Lotto,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,13,Bomboi DavideUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,14,Brustenga MarcEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,15,Walls MatthewGroupama - FDJ,Groupama - FDJ,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,16,Pedersen HenrikUno-X Mobility,Uno-X Mobility,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,17,Lamperti LukeSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,18,Govekar MatevžBahrain - Victorious,Bahrain - Victorious,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,19,Tronchon BastienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,20,Zambanini EdoardoBahrain - Victorious,Bahrain - Victorious,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,21,Degenkolb JohnTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,22,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,23,Gilmore BradyIsrael - Premier Tech,Israel - Premier Tech,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,24,Froidevaux RobinTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,25,Vader MilanQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,26,Flynn SeanTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,27,Paret-Peintre AurélienDecathlon AG2R La Mondiale Teamfav_gc,Decathlon AG2R La Mondiale Team,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,28,De Bondt DriesDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,29,Bostock MatthewGreat Britain,Great Britain,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,30,Beullens CedricLotto,Lotto,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,31,Le Gac OlivierGroupama - FDJ,Groupama - FDJ,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,32,Vermeersch FlorianUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,33,Huens AxelUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-09-14 20:39:48
tour-of-britain,2025,1,Stage 1,Normal stage,02/09,34,Fernández RubénAnicolor / Tien 21,Anicolor / Tien 21,"","",2025-09-14 20:39:48
