RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,1,Kooij OlavTeam Visma | Lease a Bike,Team Visma | Lease a Bike,20,30,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,2,Bittner PavelTeam Picnic PostNL,Team Picnic PostNL,15,18,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,3,Blikra ErlendUno-X Mobility,Uno-X Mobility,10,12,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,4,D'Amato AndreaJCL Team UKYO,JCL Team UKYO,5,7,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,5,Pluimers RickTudor Pro Cycling Team,Tudor Pro Cycling Team,3,4,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,6,Gaviria FernandoMovistar Team,Movistar Team,"",3,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,7,Turgis AnthonyTeam TotalEnergies,Team TotalEnergies,"",2,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,8,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,"",1,2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,9,Giaimi LucaUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,10,Nizzolo GiacomoQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,11,Kanter MaxXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,12,Bouglas GeorgiosBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,13,Capiot AmauryArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,14,Vermeersch FlorianUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,15,Álvarez Rodrigo Burgos Burpellet BH,Burgos Burpellet BH,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,16,Quick BlakeRoojai Insurance,Roojai Insurance,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,17,Biermans JentheArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,18,Hayter EthanSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,19,Lozouet LéandreArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,20,Guerreiro RubenMovistar Team,Movistar Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,21,Brenner MarcoTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,22,Paleni EnzoGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,23,Masuda NariyukiJCL Team UKYO,JCL Team UKYO,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,24,Flynn SeanTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,25,Aular OrluisMovistar Team,Movistar Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,26,Rondel MathysTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,27,McLay DanielTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,28,Vermaerke KevinTeam Picnic PostNLfav_gc,Team Picnic PostNL,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,29,Garofoli GianmarcoSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,30,Ulissi DiegoXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,31,Yates AdamUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,32,Delgado DavidBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,33,Warbasse LarryTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,34,Manzin LorrenzoTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,35,Fredheim StianUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,36,Fancellu AlessandroJCL Team UKYO,JCL Team UKYO,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,37,Paret-Peintre ValentinSoudal Quick-Stepfav_gc,Soudal Quick-Step,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,38,Svestad-Bårdseng EmbretArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,39,Phonarjthan PatompobRoojai Insurance,Roojai Insurance,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,40,al Hsani MundherOman,Oman,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,41,Barguil WarrenTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,42,Charmig AnthonXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,43,Poels WoutXDS Astana Teamfav_gc,XDS Astana Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,44,Vine JayUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,45,Azparren Xabier MikelQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,46,Mazuki Nur Amirul FakhruddinTerengganu Cycling Team,Terengganu Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,47,Weiss FabianTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,48,Braz Afonso ClémentGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,49,Harper ChrisTeam Jayco AlUlafav_gc,Team Jayco AlUla,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,50,Thimachai KongphobRoojai Insurance,Roojai Insurance,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,51,Hellemose AsbjørnTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,52,Gaudu DavidGroupama - FDJfav_gc,Groupama - FDJ,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,53,Engelhardt FelixTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,54,García Pierna CarlosBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,55,Garibbo NicolòJCL Team UKYO,JCL Team UKYO,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,56,Vansevenant MauriSoudal Quick-Stepfav_gc,Soudal Quick-Step,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,57,De Pretto DavideTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,58,García Cortina IvánMovistar Team,Movistar Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,59,Howson DamienQ36.5 Pro Cycling Teamfav_gc,Q36.5 Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,60,de la Cruz DavidQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,61,Germani LorenzoGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:49:40
tour-of-oman,2025,1,Stage 1,Normal stage,08/02,62,Vinokurov NicolasXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:49:40
