RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,1,Ayuso JuanUAE Team Emirates - XRG,UAE Team Emirates - XRG,200,125,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,2,Scaroni ChristianXDS Astana Team,XDS Astana Team,150,85,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,3,Storer MichaelTudor Pro Cycling Team,Tudor Pro Cycling Team,125,60,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,4,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,100,50,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,5,Carboni GiovanniUnibet Tietema Rockets,Unibet Tietema Rockets,85,45,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,6,Sheffield MagnusINEOS Grenadiers,INEOS Grenadiers,70,40,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,7,Bettiol AlbertoXDS Astana Team,XDS Astana Team,60,35,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,8,Barré LouisIntermarché - Wanty,Intermarché - Wanty,50,30,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,9,Vercher MattéoTeam TotalEnergies,Team TotalEnergies,40,26,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,10,Gualdi SimoneIntermarché - Wanty,Intermarché - Wanty,35,22,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,11,De Pretto DavideTeam Jayco AlUla,Team Jayco AlUla,30,20,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,12,Costiou EwenArkéa - B&B Hotels,Arkéa - B&B Hotels,25,18,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,13,Kwiatkowski MichałINEOS Grenadiers,INEOS Grenadiers,20,16,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,14,Pinarello AlessandroVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,15,14,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,15,Herrada JesúsCofidis,Cofidis,10,12,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,16,Thomas BenjaminCofidis,Cofidis,5,10,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,17,Prades EduardCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,5,9,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,18,Bou JoanCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,5,8,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,19,Velasco SimoneXDS Astana Team,XDS Astana Team,5,7,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,20,Laurance AxelINEOS Grenadiers,INEOS Grenadiers,5,6,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,21,Tizza MarcoWagner Bazin WB,Wagner Bazin WB,5,5,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,22,Honoré Mikkel FrølichEF Education - EasyPost,EF Education - EasyPost,5,4,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,23,Zoccarato SamueleTeam Polti VisitMalta,Team Polti VisitMalta,5,3,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,24,Peñuela Francisco JoelCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,5,2,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,25,Morgado AntónioUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,1,2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,26,Ryan ArchieEF Education - EasyPost,EF Education - EasyPost,5,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,27,Conci NicolaXDS Astana Team,XDS Astana Team,5,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,28,Jegat JordanTeam TotalEnergies,Team TotalEnergies,5,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,29,Brambilla GianlucaQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,5,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,30,Paletti LucaVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,5,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,31,Meris SergioUnibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,32,Cretti LucaMBH Bank Ballan CSB,MBH Bank Ballan CSB,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,33,Maire AdrienUnibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,34,Cepeda Jefferson AlexanderEF Education - EasyPost,EF Education - EasyPost,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,35,Eiking Odd Christian Unibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,36,Zeray NahomJCL Team UKYO,JCL Team UKYO,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,37,Scalco MatteoVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,38,Ulissi DiegoXDS Astana Team,XDS Astana Team,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,39,Cadena Edgar DavidPetrolike,Petrolike,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,40,Warbasse LarryTudor Pro Cycling Team,Tudor Pro Cycling Team,3,"",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,41,Tarozzi ManueleVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,42,Wilksch HannesTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,43,Bais DavideTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,44,Badilatti Matteo Q36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,45,Bais Mattia Team Polti VisitMalta,Team Polti VisitMalta,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,46,Tolio Alex VF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,47,Agostinacchio FilippoBiesse - Carrera - Premac,Biesse - Carrera - Premac,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,48,Dati TommasoBiesse - Carrera - Premac,Biesse - Carrera - Premac,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,49,Zana FilippoTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,50,Bortoluzzi GiovanniGeneral Store - Essegibi - F.Lli Curia,General Store - Essegibi - F.Lli Curia,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,51,Gruszczynski FilipBiesse - Carrera - Premac,Biesse - Carrera - Premac,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,52,Garibbo NicolòJCL Team UKYO,JCL Team UKYO,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,53,Covili LucaVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,54,Petilli SimoneIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,55,Guzzo FedericoS.C. Padovani Polo Cherry Bank,S.C. Padovani Polo Cherry Bank,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,56,Martín AlexTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,57,Zamperini EdoardoArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:43:03
trofeo-laigueglia,2025,99,Result,Result,2025-03-05,58,Galimberti LorenzoPetrolike,Petrolike,"","",2025-09-02 20:43:03
