RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,1,Evenepoel RemcoBelgium,Belgium,70,60,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,2,Ganna FilippoItaly,Italy,55,45,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,3,Larsen NiklasDenmark,Denmark,40,35,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,4,Hayter EthanGreat Britain,Great Britain,30,25,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,5,Tarling JoshuaGreat Britain,Great Britain,25,20,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,6,Hoole DaanNetherlands,Netherlands,20,16,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,7,Vacek MathiasCzech Republic,Czech Republic,15,12,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,8,Küng StefanSwitzerland,Switzerland,10,8,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,9,Armirail BrunoFrance,France,5,6,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,10,Segaert AlecBelgium,Belgium,3,4,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,11,Söderqvist JakobSweden,Sweden,"",2,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,12,Walscheid MaxGermany,Germany,"",1,2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,13,Cavagna RémiFrance,France,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,14,Milesi LorenzoItaly,Italy,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,15,Pedersen MadsDenmark,Denmark,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,16,Kirsch AlexLuxembourg,Luxembourg,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,17,Kluckers ArthurLuxembourg,Luxembourg,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,18,Bissegger StefanSwitzerland,Switzerland,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,19,Oliveira NelsonPortugal,Portugal,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,20,Nych ArtemIndividual Neutral Athletes,Individual Neutral Athletes,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,21,Heidemann MiguelGermany,Germany,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,22,Balderstone AbelSpain,Spain,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,23,Ilić OgnjenSerbia,Serbia,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,24,Mifsud AndreaMalta,Malta,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,25,van der Tuuk DannyPoland,Poland,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,26,Palashev BorislavBulgaria,Bulgaria,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,27,Akpinar AhmetTurkey,Turkey,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,28,Seremet IlieMoldova,Moldova,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,29,Yiğit TahirTurkey,Turkey,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,30,van Baarle DylanNetherlands,Netherlands,"","",2025-10-07 22:51:00
uec-road-european-championships-itt,2025,99,Result,Result,2025-10-01,DNS,Almeida JoãoPortugal,Portugal,"","",2025-10-07 22:51:00
