RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,1,Brennan MatthewTeam Visma | Lease a Bike,Team Visma | Lease a Bike,50,50,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,2,Groves KadenAlpecin - Deceuninck,Alpecin - Deceuninck,30,30,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,3,Del Grosso TiborAlpecin - Deceuninck,Alpecin - Deceuninck,25,18,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,4,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,20,13,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,5,Vendrame AndreaDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,10,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,6,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,10,7,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,7,Planckaert EdwardAlpecin - Deceuninck,Alpecin - Deceuninck,8,4,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,8,Landa MikelSoudal Quick-Stepfav_gc,Soudal Quick-Step,6,3,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,9,Van Eetvelt LennertLottofav_gc,Lotto,3,2,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,10,De Plus LaurensINEOS Grenadiersfav_gc,INEOS Grenadiers,1,1,2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,11,Lecerf JuniorSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,12,Mas EnricMovistar Teamfav_gc,Movistar Team,"","",2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,13,Ayuso JuanUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,14,López Harold MartínXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,15,Roglič PrimožRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,16,Bernal EganINEOS Grenadiersfav_gc,INEOS Grenadiers,"","",2025-09-02 20:44:34
volta-a-catalunya,2025,1,Stage 1,Normal stage,24/03,17,Kelderman WilcoTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:44:34
