RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,1,Christen JanUAE Team Emirates - XRG,UAE Team Emirates - XRG,20,30,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,2,Almeida JoãoUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,15,18,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,3,De Plus LaurensINEOS Grenadiersfav_gc,INEOS Grenadiers,10,12,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,4,Bardet RomainTeam Picnic PostNL,Team Picnic PostNL,5,7,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,5,Morgado AntónioUAE Team Emirates - XRG,UAE Team Emirates - XRG,3,4,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,6,Vingegaard JonasTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,"",3,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,7,Vergallito LucaAlpecin - Deceuninck,Alpecin - Deceuninck,"",2,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,8,Geoghegan Hart TaoLidl - Trek,Lidl - Trek,"",1,2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,9,Roglič PrimožRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,10,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 12:51:16
volta-ao-algarve,2025,2,Stage 2,Normal stage,20/02,11,Grégoire RomainGroupama - FDJfav_gc,Groupama - FDJ,"","",2025-08-25 12:51:16
