RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
world-championship,2025,99,Result,Result,2025-09-28,1,Pogačar TadejSlovenia,Slovenia,900,350,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,2,Evenepoel RemcoBelgium,Belgium,715,260,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,3,Healy BenIreland,Ireland,600,190,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,4,Skjelmose MattiasDenmark,Denmark,490,150,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,5,Skujiņš TomsLatvia,Latvia,410,130,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,6,Ciccone GiulioItaly,Italy,340,110,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,7,del Toro IsaacMexico,Mexico,265,100,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,8,Ayuso JuanSpain,Spain,225,90,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,9,Eulálio AfonsoPortugal,Portugal,190,80,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,10,Pidcock ThomasGreat Britain,Great Britain,150,70,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,11,Roglič PrimožSlovenia,Slovenia,130,65,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,12,Honoré Mikkel FrølichDenmark,Denmark,105,60,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,13,Seixas PaulFrance,France,90,55,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,14,Tejada HaroldColombia,Colombia,75,50,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,15,Sivakov PavelFrance,France,60,46,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,16,Hindley JaiAustralia,Australia,50,42,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,17,Bagioli AndreaItaly,Italy,45,38,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,18,Hirschi MarcSwitzerland,Switzerland,45,34,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,19,Storer MichaelAustralia,Australia,45,32,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,20,Canal CarlosSpain,Spain,45,30,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,21,Mollema BaukeNetherlands,Netherlands,45,28,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,22,Garofoli GianmarcoItaly,Italy,30,26,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,23,Vermaerke KevinUnited States,United States,30,24,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,24,Nych ArtemIndividual Neutral Athletes,Individual Neutral Athletes,30,22,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,25,Leknessund AndreasNorway,Norway,30,20,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,26,Uijtdebroeks CianBelgium,Belgium,30,19,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,27,Svestad-Bårdseng EmbretNorway,Norway,30,18,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,28,Paret-Peintre ValentinFrance,France,30,17,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,29,Christen JanSwitzerland,Switzerland,30,16,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,30,Ghebreigzabhier AmanuelEritrea,Eritrea,30,15,2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Su HaoyuChina,China,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Vine JayAustralia,Australia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Matthews MichaelAustralia,Australia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Howson DamienAustralia,Australia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Hamilton ChrisAustralia,Australia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Scotson CallumAustralia,Australia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Plapp LukeAustralia,Australia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Bernal EganColombia,Colombia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Rivera Brandon SmithColombia,Colombia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Vargas WalterColombia,Colombia,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Staune-Mittet JohannesNorway,Norway,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Bystrøm Sven ErikNorway,Norway,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Charmig AnthonDenmark,Denmark,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Foldager Anders Denmark,Denmark,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Juul-Jensen ChristopherDenmark,Denmark,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Pedersen CasperDenmark,Denmark,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Hellemose AsbjørnDenmark,Denmark,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Kamp AlexanderDenmark,Denmark,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Leonard MichaelCanada,Canada,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Gervais LaurentCanada,Canada,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Mayrhofer Marius Germany,Germany,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Rutsch JonasGermany,Germany,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Zimmermann GeorgGermany,Germany,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Engelhardt FelixGermany,Germany,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Frayre EderMexico,Mexico,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Ruvalcaba DavidMexico,Mexico,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Donovan MarkGreat Britain,Great Britain,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Onley OscarGreat Britain,Great Britain,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Blackmore JosephGreat Britain,Great Britain,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Wright FredGreat Britain,Great Britain,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Knox JamesGreat Britain,Great Britain,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Knight OliverGreat Britain,Great Britain,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Koerdt BjornGreat Britain,Great Britain,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Warbasse LarryUnited States,United States,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Simmons QuinnUnited States,United States,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Lamperti LukeUnited States,United States,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Barta WillUnited States,United States,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Budiak AnatoliiUkraine,Ukraine,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Weiss FabianSwitzerland,Switzerland,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Schmid MauroSwitzerland,Switzerland,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Christen Fabio Switzerland,Switzerland,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Mulubrhan HenokEritrea,Eritrea,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Kudus MerhawiEritrea,Eritrea,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Tesfatsion NatnaelEritrea,Eritrea,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Girmay BiniamEritrea,Eritrea,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Zeray NahomEritrea,Eritrea,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Nsengiyumva ShemuRwanda,Rwanda,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Manizabayo EricRwanda,Rwanda,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Muhoza EricRwanda,Rwanda,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Masengesho VainqueurRwanda,Rwanda,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Byukusenge PatrickRwanda,Rwanda,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Nkundabera EricRwanda,Rwanda,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Diarra SirikiMali,Mali,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Diallo DiantoubaMali,Mali,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Munton ByronSouth Africa,South Africa,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Ndungu EdwinKenya,Kenya,"","",2025-09-30 14:22:39
world-championship,2025,99,Result,Result,2025-09-28,DNF,Chumil Sergio GeovaniGuatemala,Guatemala,"","",2025-09-30 14:22:39
