RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
world-championship-itt,2025,99,Result,Result,2025-09-21,1,Evenepoel RemcoBelgium,Belgium,455,250,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,2,Vine JayAustralia,Australia,325,190,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,3,Van Wilder IlanBelgium,Belgium,260,140,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,4,Pogačar TadejSlovenia,Slovenia,195,110,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,5,del Toro IsaacMexico,Mexico,165,100,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,6,Leknessund AndreasNorway,Norway,130,90,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,7,Plapp LukeAustralia,Australia,110,80,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,8,Armirail BrunoFrance,France,90,70,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,9,Arensman ThymenNetherlands,Netherlands,80,60,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,10,Küng StefanSwitzerland,Switzerland,65,50,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,11,Romeo IvánSpain,Spain,55,40,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,12,Leonard MichaelCanada,Canada,40,30,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,13,Sobrero MatteoItaly,Italy,30,20,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,14,Vargas WalterColombia,Colombia,25,15,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,15,Cattaneo MattiaItaly,Italy,20,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,16,Seixas PaulFrance,France,15,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,17,Heidemann MiguelGermany,Germany,10,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,18,García Pierna RaúlSpain,Spain,10,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,19,Vermeersch FlorianBelgium,Belgium,5,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,20,Munton ByronSouth Africa,South Africa,5,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,21,Taaramäe ReinEstonia,Estonia,3,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,22,Nych ArtemIndividual Neutral Athletes,Individual Neutral Athletes,3,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,23,Rafferty DarrenIreland,Ireland,3,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,24,Barta WillUnited States,United States,3,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,25,Nsengiyumva ShemuRwanda,Rwanda,3,10,2025-09-26 19:23:34
world-championship-itt,2025,99,Result,Result,2025-09-21,26,Mullen RyanIreland,Ireland,"",10,2025-09-26 19:23:34
