,RiderName_Zweeler,ValgtAf,ValgtAfPct
0,"Pogačar, Tadej ",1423,92
1,"Vingegaard, Jonas ",1059,69
2,"Nys, Thibau ",948,61
3,"Andresen, Tobias Lund ",917,59
4,"Philipsen, Jasper ",872,56
5,"Pedersen, Mads ",810,52
6,"Magnier, Paul ",795,51
7,"Morgado, António ",764,49
8,"Poole, Max ",762,49
9,"Lie, Arnaud De",735,48
10,"Milan, Jonathan ",665,43
11,"Martinez, Lenny ",664,43
12,"Teutenberg, Tim Torn ",657,43
13,"Laurance, Axel ",640,41
14,"Aert, Wout van",625,40
15,"Welsford, Sam ",596,39
16,"Mihkels, Madis ",588,38
17,"Withen Philipsen, Albert ",560,36
18,"Merlier, Tim ",559,36
19,"Ayuso, Juan ",530,34
20,"Staune-Mittet, Johannes ",496,32
21,"Behrens, Niklas ",457,30
22,"Torres, Pablo ",453,29
23,"Roglič, Primož ",415,27
24,"Girmay, Biniam ",406,26
25,"Narváez, Jhonatan ",402,26
26,"Hirschi, Marc ",390,25
27,"Eetvelt, Lennert Van",389,25
28,"Christen, Jan ",388,25
29,"Jorgenson, Matteo ",384,25
30,"Pithie, Laurence ",343,22
31,"Onley, Oscar ",331,21
32,"Romeo, Iván ",330,21
33,"Tiberi, Antonio ",330,21
34,"Almeida, João ",306,20
35,"Lazkano, Oier ",303,20
36,"Pellizzari, Giulio ",302,20
37,"Grégoire, Romain ",295,19
38,"Williams, Stevie ",284,18
39,"Jeanniere, Emilien ",279,18
40,"Kooij, Olav ",267,17
41,"Gee, Derek ",252,16
42,"Carapaz, Richard ",251,16
43,"Plapp, Luke ",249,16
44,"Poel, Mathieu van der",248,16
45,"Lapeira, Paul ",242,16
46,"Vine, Jay ",241,16
47,"Blackmore, Joe ",237,15
48,"Fretin, Milan ",236,15
49,"Evenepoel, Remco ",226,15
50,"Uijtdebroeks, Cian ",226,15
51,"Mas, Enric ",225,15
52,"Yates, Simon ",225,15
53,"Pidcock, Tom ",212,14
54,"Seixas, Paul ",206,13
55,"Skjelmose, Mattias ",200,13
56,"Gautherat, Pierre ",197,13
57,"Zingle, Axel ",197,13
58,"Fisher-Black, Finn ",196,13
59,"Strong, Corbin ",196,13
60,"Landa, Mikel ",191,12
61,"Del Grosso, Tibor ",188,12
62,"Nordhagen, Jørgen ",188,12
63,"Brennan, Matthew ",184,12
64,"Penhoët, Paul ",182,12
65,"Gaudu, David ",178,12
66,"Kleijn, Arvid de",175,11
67,"Tarling, Josh ",172,11
68,"Riccitello, Matthew ",167,11
69,"Bettiol, Alberto ",166,11
70,"Segaert, Alec ",159,10
71,"Berckmoes, Jenno ",155,10
72,"Gloag, Thomas ",149,10
73,"Lecerf, Junior ",140,9
74,"Rodriguez, Carlos ",135,9
75,"Meeus, Jordi ",129,8
