RaceNumber,RaceName,RaceCategory,RaceStart,RaceEnd,RaceLink_PCS,RaceName_PCS
1,Tour Down Under,Tour Cat. 2,2025-01-21 02:05:00,2025-01-26 08:00:00,https://www.procyclingstats.com/race/tour-down-under/2025,tour-down-under
2,AlUla Tour,Tour Cat. 3,2025-01-28 08:00:00,2025-02-01 15:00:00,https://www.procyclingstats.com/race/alula-tour/2025,alula-tour
3,Cadel Evans Great Ocean Road Race,Classics Cat. 2,2025-02-02 01:00:00,2025-02-02 08:00:00,https://www.procyclingstats.com/race/great-ocean-road-race/2025,great-ocean-road-race
4,Volta a la Comunitat Valenciana,Tour Cat. 3,2025-02-05 11:00:00,2025-02-09 18:00:00,https://www.procyclingstats.com/race/vuelta-a-la-comunidad-valenciana/2025,vuelta-a-la-comunidad-valenciana
5,Tour of Oman,Tour Cat. 3,2025-02-08 08:00:00,2025-02-12 15:00:00,https://www.procyclingstats.com/race/tour-of-oman/2025,tour-of-oman
6,Tour de La Provence,Tour Cat. 3,2025-02-14 11:00:00,2025-02-16 18:00:00,https://www.procyclingstats.com/race/tour-cycliste-international-la-provence/2025,tour-cycliste-international-la-provence
7,Clásica de Almería,Classics Cat. 3,2025-02-16 11:00:00,2025-02-16 18:00:00,https://www.procyclingstats.com/race/clasica-de-almeria/2025,clasica-de-almeria
8,UAE Tour,Tour Cat. 2,2025-02-17 08:00:00,2025-02-23 15:00:00,https://www.procyclingstats.com/race/uae-tour/2025,uae-tour
9,Vuelta a Andalucía,Tour Cat. 3,2025-02-19 11:00:00,2025-02-23 18:00:00,https://www.procyclingstats.com/race/ruta-del-sol/2025,ruta-del-sol
10,Volta ao Algarve,Tour Cat. 3,2025-02-19 12:00:00,2025-02-23 19:00:00,https://www.procyclingstats.com/race/volta-ao-algarve/2025,volta-ao-algarve
11,O Gran Camiño,Tour Cat. 3,2025-02-26 11:00:00,2025-03-02 18:00:00,https://www.procyclingstats.com/race/gran-camino/2025,gran-camino
12,Omloop Het Nieuwsblad,Classics Cat. 2,2025-03-01 11:00:00,2025-03-01 18:00:00,https://www.procyclingstats.com/race/omloop-het-nieuwsblad/2025,omloop-het-nieuwsblad
13,Kuurne-Brussel-Kuurne,Classics Cat. 3,2025-03-02 11:00:00,2025-03-02 18:00:00,https://www.procyclingstats.com/race/kuurne-brussel-kuurne/2025,kuurne-brussel-kuurne
14,Ename Samyn Classic,Classics Cat. 3,2025-03-04 11:00:00,2025-03-04 18:00:00,https://www.procyclingstats.com/race/gp-samyn/2025,gp-samyn
15,Trofeo Laigueglia,Classics Cat. 3,2025-03-05 11:00:00,2025-03-05 18:00:00,https://www.procyclingstats.com/race/trofeo-laigueglia/2025,trofeo-laigueglia
16,Strade Bianche,Classics Cat. 1,2025-03-08 11:00:00,2025-03-08 18:00:00,https://www.procyclingstats.com/race/strade-bianche/2025,strade-bianche
