RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
alula-tour,2025,1,Stage 1,Normal stage,28/01,1,Merlier TimSoudal Quick-Step,Soudal Quick-Step,14,20,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,2,Molano Juan SebastiánUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,12,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,3,Zijlaard MaikelTudor Pro Cycling Team,Tudor Pro Cycling Team,3,7,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,4,Moschetti MatteoQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"",5,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,5,Groenewegen DylanTeam Jayco AlUla,Team Jayco AlUla,"",4,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,6,Walscheid MaxTeam Jayco AlUla,Team Jayco AlUla,"",3,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,7,Barbier PierreWagner Bazin WB,Wagner Bazin WB,"",2,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,8,Bruttomesso AlbertoBahrain - Victorious,Bahrain - Victorious,"",1,2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,9,Weemaes SashaWagner Bazin WB,Wagner Bazin WB,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,10,D'Amato AndreaJCL Team UKYO,JCL Team UKYO,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,11,Jakobsen FabioTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,12,Darder SergiCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,13,Brustenga MarcEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,14,Gonov LevXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,15,Boniface LucasTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,16,Abrahamsen JonasUno-X Mobility,Uno-X Mobility,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,17,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,18,Romele AlessandroXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,19,Sorarrain GorkaCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,20,Quick BlakeRoojai Insurance,Roojai Insurance,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,21,Hatherly AlanTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,22,Van Hautegem LeanderWagner Bazin WB,Wagner Bazin WB,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,23,Iribar UnaiEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,24,Oliveira IvoUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:39:41
alula-tour,2025,1,Stage 1,Normal stage,28/01,25,Dauphin FlorianTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:39:41
