RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
amstel-gold-race,2025,99,Result,Result,2025-04-20,1,Skjelmose MattiasLidl - Trek,Lidl - Trek,500,225,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,2,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,400,150,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,3,Evenepoel RemcoSoudal Quick-Step,Soudal Quick-Step,325,110,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,4,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,275,90,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,5,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,225,80,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,6,Barré LouisIntermarché - Wanty,Intermarché - Wanty,175,70,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,7,Grégoire RomainGroupama - FDJ,Groupama - FDJ,150,60,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,8,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,125,50,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,9,Pidcock ThomasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,100,46,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,10,Healy BenEF Education - EasyPost,EF Education - EasyPost,85,42,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,11,McNulty BrandonUAE Team Emirates - XRG,UAE Team Emirates - XRG,70,38,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,12,Nys ThibauLidl - Trek,Lidl - Trek,60,34,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,13,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,50,30,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,14,Blackmore JosephIsrael - Premier Tech,Israel - Premier Tech,40,26,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,15,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,35,22,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,16,Hermans QuintenAlpecin - Deceuninck,Alpecin - Deceuninck,30,20,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,17,Lutsenko AlexeyIsrael - Premier Tech,Israel - Premier Tech,30,18,2025-08-25 12:55:53
amstel-gold-race,2025,99,Result,Result,2025-04-20,18,Kamp AlexanderIntermarché - Wanty,Intermarché - Wanty,30,17,2025-08-25 12:55:53
