RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,1,Molano Juan SebastiánUAE Team Emirates - XRG,UAE Team Emirates - XRG,300,225,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,2,Milan Jonathan Lidl - Trek,Lidl - Trek,250,150,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,3,Mihkels MadisEF Education - EasyPost,EF Education - EasyPost,215,110,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,4,Bauhaus PhilBahrain - Victorious,Bahrain - Victorious,175,90,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,5,Blikra ErlendUno-X Mobility,Uno-X Mobility,120,80,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,6,Kanter MaxXDS Astana Team,XDS Astana Team,115,70,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,7,Renard AlexisCofidis,Cofidis,95,60,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,8,Rex LaurenzIntermarché - Wanty,Intermarché - Wanty,75,50,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,9,Groenewegen DylanTeam Jayco AlUla,Team Jayco AlUla,60,46,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,10,Welsford SamRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,50,42,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,11,Mozzato LucaArkéa - B&B Hotels,Arkéa - B&B Hotels,40,38,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,12,Pickrell RileyIsrael - Premier Tech,Israel - Premier Tech,35,34,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,13,Bomboi DavideUnibet Tietema Rockets,Unibet Tietema Rockets,30,30,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,14,Van den Bossche FabioAlpecin - Deceuninck,Alpecin - Deceuninck,25,26,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,15,Lamperti LukeSoudal Quick-Step,Soudal Quick-Step,20,22,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,16,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,20,20,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,17,van Poppel DannyRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,20,18,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,18,Consonni SimoneLidl - Trek,Lidl - Trek,20,17,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,19,Russo ClémentGroupama - FDJ,Groupama - FDJ,20,16,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,20,Rickaert JonasAlpecin - Deceuninck,Alpecin - Deceuninck,20,15,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,21,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,12,14,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,22,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,12,13,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,23,Aular OrluisMovistar Team,Movistar Team,12,12,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,24,Manzin LorrenzoTeam TotalEnergies,Team TotalEnergies,12,11,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,25,Ballerini DavideXDS Astana Team,XDS Astana Team,12,10,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,26,Jacobs JohanGroupama - FDJ,Groupama - FDJ,12,9,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,27,Resell Erik NordsæterUno-X Mobility,Uno-X Mobility,12,8,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,28,De Schuyteneer SteffenLotto,Lotto,12,7,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,29,Van Asbroeck TomIsrael - Premier Tech,Israel - Premier Tech,12,6,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,30,Epis GiosuèArkéa - B&B Hotels,Arkéa - B&B Hotels,12,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,31,Doull OwainEF Education - EasyPost,EF Education - EasyPost,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,32,Baroncini FilippoUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,33,van Belle LoeTeam Visma | Lease a Bike,Team Visma | Lease a Bike,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,34,Van Hoecke GijsIntermarché - Wanty,Intermarché - Wanty,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,35,Dauphin FlorianTeam TotalEnergies,Team TotalEnergies,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,36,van Sintmaartensdijk RoelIntermarché - Wanty,Intermarché - Wanty,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,37,van Uden CasperTeam Picnic PostNL,Team Picnic PostNL,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,38,Märkl NiklasTeam Picnic PostNL,Team Picnic PostNL,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,39,Bruttomesso AlbertoBahrain - Victorious,Bahrain - Victorious,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,40,Wallin Rasmus BøghUno-X Mobility,Uno-X Mobility,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,41,Walls MatthewGroupama - FDJ,Groupama - FDJ,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,42,Viviani EliaLotto,Lotto,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,43,Renard-Haquin Henri-FrançoisWagner Bazin WB,Wagner Bazin WB,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,44,Reynders JensWagner Bazin WB,Wagner Bazin WB,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,45,Vermeersch FlorianUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,46,Bjerg MikkelUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,47,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,48,Thierry PierreArkéa - B&B Hotels,Arkéa - B&B Hotels,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,49,Desal CerielWagner Bazin WB,Wagner Bazin WB,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,50,Eržen ŽakBahrain - Victorious,Bahrain - Victorious,5,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,51,Raisberg NadavIsrael - Premier Tech,Israel - Premier Tech,2,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,52,Côté Pier-AndréIsrael - Premier Tech,Israel - Premier Tech,2,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,53,Milesi LorenzoMovistar Team,Movistar Team,2,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,54,Ermakov RomanBahrain - Victorious,Bahrain - Victorious,2,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,55,Gerits VinceTeam Flanders - Baloise,Team Flanders - Baloise,2,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,56,Crabbe TomTeam Flanders - Baloise,Team Flanders - Baloise,1,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,57,Toneatti DavideXDS Astana Team,XDS Astana Team,1,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,58,Wærenskjold SørenUno-X Mobility,Uno-X Mobility,1,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,59,Veistroffer BaptisteLotto,Lotto,1,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,60,Lambrecht Michiel Wagner Bazin WB,Wagner Bazin WB,1,5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,61,Norsgaard MathiasMovistar Team,Movistar Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,62,Moro ManlioMovistar Team,Movistar Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,63,Schwarzmann Michael Israel - Premier Tech,Israel - Premier Tech,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,64,Hofstetter HugoIsrael - Premier Tech,Israel - Premier Tech,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,65,Barthe CyrilGroupama - FDJ,Groupama - FDJ,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,66,Romele AlessandroXDS Astana Team,XDS Astana Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,67,Gazzoli MicheleXDS Astana Team,XDS Astana Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,68,Lozouet LéandreArkéa - B&B Hotels,Arkéa - B&B Hotels,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,69,Johannink JelleUnibet Tietema Rockets,Unibet Tietema Rockets,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,70,de Vries Hartthijs Unibet Tietema Rockets,Unibet Tietema Rockets,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,71,Donaldson RobertTeam Jayco AlUla,Team Jayco AlUla,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,72,Reinders ElmarTeam Jayco AlUla,Team Jayco AlUla,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,73,Boivin GuillaumeIsrael - Premier Tech,Israel - Premier Tech,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,74,Van Lerberghe BertSoudal Quick-Step,Soudal Quick-Step,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,75,Sweeny HarryEF Education - EasyPost,EF Education - EasyPost,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,76,Soupe GeoffreyTeam TotalEnergies,Team TotalEnergies,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,77,Mullen RyanRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,78,Walscheid MaxTeam Jayco AlUla,Team Jayco AlUla,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,79,Laengen Vegard StakeUAE Team Emirates - XRG,UAE Team Emirates - XRG,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,80,Robeet LudovicCofidis,Cofidis,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,81,Hvideberg Jonas HemUno-X Mobility,Uno-X Mobility,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,82,García Cortina IvánMovistar Team,Movistar Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,83,Serrano GonzaloMovistar Team,Movistar Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,84,Morgado António UAE Team Emirates - XRG,UAE Team Emirates - XRG,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,85,Gamper PatrickTeam Jayco AlUla,Team Jayco AlUla,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,86,Marcerou NicolaTeam TotalEnergies,Team TotalEnergies,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,87,Boniface LucasTeam TotalEnergies,Team TotalEnergies,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,88,Boulahoite RayanTeam TotalEnergies,Team TotalEnergies,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,89,Maciejuk FilipRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,90,Skerl DanielBahrain - Victorious,Bahrain - Victorious,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,91,Scotson MilesArkéa - B&B Hotels,Arkéa - B&B Hotels,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,92,van den Berg JuliusTeam Picnic PostNL,Team Picnic PostNL,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,93,Mikutis AivarasTudor Pro Cycling Team,Tudor Pro Cycling Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,94,Declercq TimLidl - Trek,Lidl - Trek,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,95,Heming MikáTudor Pro Cycling Team,Tudor Pro Cycling Team,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,96,Izquierdo ClémentCofidis,Cofidis,"",5,2025-08-25 12:54:28
classic-brugge-de-panne,2025,99,Result,Result,2025-03-26,97,Cimolai DavideMovistar Team,Movistar Team,"",5,2025-08-25 12:54:28
