RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
dauphine,2025,1,Stage 1,Normal stage,08/06,1,Pogačar TadejUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,60,50,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,2,Vingegaard JonasTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,40,30,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,3,van der Poel MathieuAlpecin - Deceuninck,Alpecin - Deceuninck,30,18,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,4,Evenepoel RemcoSoudal Quick-Stepfav_gc,Soudal Quick-Step,25,13,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,5,Stewart JakeIsrael - Premier Tech,Israel - Premier Tech,20,10,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,6,Page HugoIntermarché - Wanty,Intermarché - Wanty,15,7,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,7,Tronchon BastienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,10,4,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,8,Venturini ClémentArkéa - B&B Hotels,Arkéa - B&B Hotels,8,3,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,9,Thomas BenjaminCofidis,Cofidis,5,2,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,10,Penhoët PaulGroupama - FDJ,Groupama - FDJ,2,1,2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,11,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,12,Pithie LaurenceRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,13,Fredheim StianUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,14,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,15,Foldager AndersTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,16,Watson SamuelINEOS Grenadiers,INEOS Grenadiers,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,17,Turgis AnthonyTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,18,Buitrago SantiagoBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,19,Paret-Peintre AurélienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,20,Velasco SimoneXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,21,Jorgenson MatteoTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,22,Valgren MichaelEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,23,Mühlberger GregorMovistar Team,Movistar Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,24,Poole MaxTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,25,Koerdt BjornTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,26,Wright FredBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,27,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,28,Milan JonathanLidl - Trek,Lidl - Trek,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,29,Lutsenko AlexeyIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,30,Tejada HaroldXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,31,Mas EnricMovistar Teamfav_gc,Movistar Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,32,Nerurkar LukasEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,33,Sheffield MagnusINEOS Grenadiersfav_gc,INEOS Grenadiers,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,34,Theuns EdwardLidl - Trek,Lidl - Trek,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,35,Berthet ClémentDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,36,Fisher-Black FinnRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,37,Martin GuillaumeGroupama - FDJfav_gc,Groupama - FDJ,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,38,Chaves EstebanEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,39,Rondel MathysTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,40,Rodríguez CarlosINEOS Grenadiersfav_gc,INEOS Grenadiers,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,41,Russo ClémentGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,42,Haig JackBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,43,Martinez Juan GuillermoTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,44,Van Gils MaximRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,45,Lipowitz FlorianRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,46,Barré LouisIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,47,Schachmann MaximilianSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,48,Stuyven JasperLidl - Trek,Lidl - Trek,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,49,Ryan ArchieEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,50,Jegat JordanTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,51,Romeo IvánMovistar Team,Movistar Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,52,Gogl MichaelAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,53,Braz Afonso ClémentGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,54,Bardet RomainTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,55,Rouland LouisArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,56,Buchmann EmanuelCofidis,Cofidis,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,57,Armirail BrunoDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,58,Delaplace AnthonyArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,59,Johannessen Tobias HallandUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,60,Seixas PaulDecathlon AG2R La Mondiale Teamfav_gc,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,61,Dunbar EddieTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,62,Kuss SeppTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,63,Eriksson LucasTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,64,Politt NilsUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,65,Teuns DylanCofidis,Cofidis,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,66,Labrosse JordanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,67,Higuita SergioXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,68,Martinez LennyBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,69,Kron AndreasUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,70,Latour PierreTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,71,Rolland BrieucGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,72,Sivakov PavelUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,73,Burgaudeau MathieuTeam TotalEnergies,Team TotalEnergies,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,74,Guernalec VictorArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,75,Eenkhoorn PascalSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,76,Guernalec ThibaultArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,77,Bonneu KamielIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,78,Wellens TimUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,79,Leknessund AndreasUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,80,Consonni SimoneLidl - Trek,Lidl - Trek,"","",2025-08-25 12:58:30
dauphine,2025,1,Stage 1,Normal stage,08/06,81,Meintjes LouisIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:58:30
