RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gent-wevelgem,2025,99,Result,Result,2025-03-30,1,Pedersen MadsLidl - Trek,Lidl - Trek,500,225,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,2,Merlier Tim Soudal Quick-Step,Soudal Quick-Step,400 -25,150,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,3,Milan JonathanLidl - Trek,Lidl - Trek,325,110,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,4,Kristoff AlexanderUno-X Mobility,Uno-X Mobility,275,90,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,5,Hofstetter HugoIsrael - Premier Tech,Israel - Premier Tech,225,80,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,6,Ballerini DavideXDS Astana Team,XDS Astana Team,175,70,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,7,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,150,60,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,8,Berckmoes JennoLotto,Lotto,125,50,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,9,Meeus Jordi Red Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,100 -25,46,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,10,Rex LaurenzIntermarché - Wanty,Intermarché - Wanty,85,42,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,11,Degenkolb JohnTeam Picnic PostNL,Team Picnic PostNL,70,38,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,12,Turgis AnthonyTeam TotalEnergies,Team TotalEnergies,60,34,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,13,Russo ClémentGroupama - FDJ,Groupama - FDJ,50,30,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,14,Mihkels MadisEF Education - EasyPost,EF Education - EasyPost,40,26,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,15,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,35,22,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,16,Teunissen MikeXDS Astana Team,XDS Astana Team,30,20,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,17,Louvel MatisIsrael - Premier Tech,Israel - Premier Tech,30,18,2025-08-25 12:54:41
gent-wevelgem,2025,99,Result,Result,2025-03-30,18,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,30,17,2025-08-25 12:54:41
