RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,1,Pedersen MadsLidl - Trek,Lidl - Trek,180,80,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,2,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,130,50,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,3,Aular OrluisMovistar Team,Movistar Team,95,35,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,4,Busatto Francesco Intermarché - Wanty,Intermarché - Wanty,80,25,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,5,Pidcock ThomasQ36.5 Pro Cycling Teamfav_gc,Q36.5 Pro Cycling Team,60,18,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,6,Ulissi DiegoXDS Astana Team,XDS Astana Team,45,15,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,7,Carapaz RichardEF Education - EasyPost,EF Education - EasyPost,40,12,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,8,Poole MaxTeam Picnic PostNL,Team Picnic PostNL,35,10,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,9,Conci NicolaXDS Astana Team,XDS Astana Team,30,8,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,10,Piganzoli DavideTeam Polti VisitMalta,Team Polti VisitMalta,25,6,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,11,Ciccone GiulioLidl - Trek,Lidl - Trek,20,5,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,12,Tiberi AntonioBahrain - Victoriousfav_gc,Bahrain - Victorious,15,4,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,13,Double PaulTeam Jayco AlUla,Team Jayco AlUla,10,3,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,14,Engelhardt FelixTeam Jayco AlUla,Team Jayco AlUla,5,2,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,15,Roglič PrimožRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,2,1,2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,16,Bardet RomainTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,17,Hindley JaiRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,18,Rubio EinerMovistar Team,Movistar Team,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,19,Caruso DamianoBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,20,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,21,Yates SimonTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,22,Vacek MathiasLidl - Trek,Lidl - Trek,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,23,Storer MichaelTudor Pro Cycling Teamfav_gc,Tudor Pro Cycling Team,"","",2025-08-25 12:57:08
giro-d-italia,2025,1,Stage 1,Normal stage,09/05,24,Gaudu DavidGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:57:08
