RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
giro-dell-emilia,2025,99,Result,Result,2025-10-04,1,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,200,125,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,2,Pidcock ThomasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,150,85,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,3,Martinez LennyBahrain - Victorious,Bahrain - Victorious,125,60,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,4,Bernal EganINEOS Grenadiers,INEOS Grenadiers,100,50,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,5,Roglič PrimožRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,85,45,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,6,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,70,40,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,7,Storer MichaelTudor Pro Cycling Team,Tudor Pro Cycling Team,60,35,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,8,Uijtdebroeks CianTeam Visma | Lease a Bike,Team Visma | Lease a Bike,50,30,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,9,Yates AdamUAE Team Emirates - XRG,UAE Team Emirates - XRG,40,26,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,10,Withen Philipsen AlbertLidl - Trek,Lidl - Trek,35,22,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,11,Carapaz RichardEF Education - EasyPost,EF Education - EasyPost,30,20,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,12,Molard RudyGroupama - FDJ,Groupama - FDJ,25,18,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,13,Landa MikelSoudal Quick-Step,Soudal Quick-Step,20,16,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,14,Ryan ArchieEF Education - EasyPost,EF Education - EasyPost,15,14,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,15,Higuita SergioXDS Astana Team,XDS Astana Team,10,12,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,16,Berthet ClémentDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,5,10,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,17,Rondel MathysTudor Pro Cycling Team,Tudor Pro Cycling Team,5,9,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,18,Piganzoli DavideTeam Polti VisitMalta,Team Polti VisitMalta,5,8,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,19,Vine JayUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,7,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,20,Quintana NairoMovistar Team,Movistar Team,5,6,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,21,Nordhagen JørgenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,5,5,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,22,Honoré Mikkel FrølichEF Education - EasyPost,EF Education - EasyPost,5,4,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,23,Braz Afonso ClémentGroupama - FDJ,Groupama - FDJ,5,3,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,24,Velasco SimoneXDS Astana Team,XDS Astana Team,5,2,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,25,Moniquet SylvainCofidis,Cofidis,5,1,2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,26,Tiberi AntonioBahrain - Victorious,Bahrain - Victorious,5,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,27,Double PaulTeam Jayco AlUla,Team Jayco AlUla,5,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,28,Koerdt BjornTeam Picnic PostNL,Team Picnic PostNL,5,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,29,Okamika AnderBurgos Burpellet BH,Burgos Burpellet BH,5,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,30,Arensman ThymenINEOS Grenadiers,INEOS Grenadiers,5,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,31,Johannessen Tobias HallandUno-X Mobility,Uno-X Mobility,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,32,Leknessund AndreasUno-X Mobility,Uno-X Mobility,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,33,Dunbar EddieTeam Jayco AlUla,Team Jayco AlUla,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,34,Aleotti GiovanniRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,35,Pinarello AlessandroVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,36,Bagioli AndreaLidl - Trek,Lidl - Trek,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,37,Graat TijmenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,38,Rochas RémyGroupama - FDJ,Groupama - FDJ,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,39,Kulset JohannesUno-X Mobility,Uno-X Mobility,3,"",2025-10-05 13:14:15
giro-dell-emilia,2025,99,Result,Result,2025-10-04,40,Pellizzari GiulioRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,3,"",2025-10-05 13:14:15
