RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
great-ocean-road-race,2025,99,Result,Result,2025-02-02,1,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,300,225,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,2,Gate AaronXDS Astana Team,XDS Astana Team,250,150,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,3,Pithie LaurenceRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,215,110,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,4,Romo JavierMovistar Team,Movistar Team,175,90,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,5,Bagioli AndreaLidl - Trek,Lidl - Trek,120,80,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,6,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,115,70,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,7,Sheffield MagnusINEOS Grenadiers,INEOS Grenadiers,95,60,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,8,Rochas RémyGroupama - FDJ,Groupama - FDJ,75,50,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,9,Onley OscarTeam Picnic PostNL,Team Picnic PostNL,60,46,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,10,Fisher-Black FinnRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,50,42,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,11,Chaves EstebanEF Education - EasyPost,EF Education - EasyPost,40,38,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,12,Woods MichaelIsrael - Premier Tech,Israel - Premier Tech,35,34,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,13,Teutenberg Tim TornLidl - Trek,Lidl - Trek,30,30,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,14,van Poppel DannyRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,25,26,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,15,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,20,22,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,16,Coquard BryanCofidis,Cofidis,20,20,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,17,Busatto FrancescoIntermarché - Wanty,Intermarché - Wanty,20,18,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,18,Konrad PatrickLidl - Trek,Lidl - Trek,20,17,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,19,Tesfatsion NatnaelMovistar Team,Movistar Team,20,16,2025-08-25 12:49:11
great-ocean-road-race,2025,99,Result,Result,2025-02-02,20,Eenkhoorn PascalSoudal Quick-Step,Soudal Quick-Step,20,15,2025-08-25 12:49:11
