RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,1,Schachmann MaximilianSoudal Quick-Step,Soudal Quick-Step,50,50,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,2,Almeida JoãoUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,30,30,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,3,Lipowitz FlorianRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,25,18,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,4,Hayter EthanSoudal Quick-Step,Soudal Quick-Step,20,13,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,5,Vlasov AleksandrRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,15,10,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,6,Van Wilder IlanSoudal Quick-Stepfav_gc,Soudal Quick-Step,10,7,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,7,Campenaerts VictorTeam Visma | Lease a Bike,Team Visma | Lease a Bike,8,4,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,8,Skjelmose MattiasLidl - Trekfav_gc,Lidl - Trek,6,3,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,9,Armirail BrunoDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,3,2,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,10,Leonard MichaelINEOS Grenadiers,INEOS Grenadiers,1,1,2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,11,Healy BenEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,12,Oliveira NelsonMovistar Team,Movistar Team,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,13,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,14,Castrillo PabloMovistar Teamfav_gc,Movistar Team,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,15,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,16,Martínez Daniel FelipeRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,17,Hatherly AlanTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,18,Großschartner FelixUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,19,Bilbao PelloBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,20,Soler MarcUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,21,Guernalec ThibaultArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,22,Kelderman WilcoTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,23,Tejada HaroldXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,24,McNulty BrandonUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,25,Scotson CallumDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,26,Izagirre IonCofidis,Cofidis,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,27,Gruel ThibaudGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,28,Cras SteffTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,29,Grégoire RomainGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,30,Arrieta IgorUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,31,Dunbar EddieTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,32,Voisard YannisTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,33,Fisher-Black FinnRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,34,Buitrago SantiagoBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,35,Van Gils MaximRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,36,Simmons QuinnLidl - Trek,Lidl - Trek,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,37,Perez AnthonyCofidis,Cofidis,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,38,Vergallito LucaAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,39,Laurance AxelINEOS Grenadiers,INEOS Grenadiers,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,40,Ruiz IbonEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,41,Onley OscarTeam Picnic PostNLfav_gc,Team Picnic PostNL,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,42,Beloki MarkelEF Education - EasyPost,EF Education - EasyPost,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,43,Haig JackBahrain - Victorious,Bahrain - Victorious,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,44,Tronchon BastienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,45,Jegat JordanTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,46,Zingle AxelTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,47,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,48,Valter AttilaTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,49,Stites TylerCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,50,Verre AlessandroArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,51,Champoussin ClémentXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,52,Delaplace AnthonyArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,53,Bagioli AndreaLidl - Trek,Lidl - Trek,"","",2025-09-02 20:45:42
itzulia-basque-country,2025,1,Stage 1 (ITT),ITT,07/04,54,Hessmann MichelMovistar Team,Movistar Team,"","",2025-09-02 20:45:42
