RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,1,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,200,125,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,2,Kooij OlavTeam Visma | Lease a Bike,Team Visma | Lease a Bike,150,85,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,3,Hofstetter HugoIsrael - Premier Tech,Israel - Premier Tech,125,60,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,4,Marit ArneIntermarché - Wanty,Intermarché - Wanty,100,50,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,5,Pluimers RickTudor Pro Cycling Team,Tudor Pro Cycling Team,85,45,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,6,Milan JonathanLidl - Trek,Lidl - Trek,70,40,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,7,van den Berg MarijnEF Education - EasyPost,EF Education - EasyPost,60,35,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,8,Bittner PavelTeam Picnic PostNL,Team Picnic PostNL,50,30,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,9,Kubiš LukášUnibet Tietema Rockets,Unibet Tietema Rockets,40,26,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,10,Fretin MilanCofidis,Cofidis,35,22,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,10,Fretin MilanCofidis,Cofidis,35,22,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,11,Meeus JordiRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,30,20,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,12,Braet VitoIntermarché - Wanty,Intermarché - Wanty,25,18,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,13,Mozzato LucaArkéa - B&B Hotels,Arkéa - B&B Hotels,20,16,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,14,Démare ArnaudArkéa - B&B Hotels,Arkéa - B&B Hotels,15,14,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,15,Merlier TimSoudal Quick-Step,Soudal Quick-Step,10,12,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,16,Askey LewisGroupama - FDJ,Groupama - FDJ,5,10,2025-08-25 12:52:10
kuurne-brussel-kuurne,2025,99,Result,Result,2025-03-02,17,Bennett SamDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,5,9,2025-08-25 12:52:10
