RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,1,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,800,275,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,2,Ciccone GiulioLidl - Trek,Lidl - Trek,640,200,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,3,Healy BenEF Education - EasyPost,EF Education - EasyPost,520,150,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,4,Velasco SimoneXDS Astana Team,XDS Astana Team,440,120,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,5,Nys ThibauLidl - Trek,Lidl - Trek,360,100,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,6,Bagioli AndreaLidl - Trek,Lidl - Trek,280,90,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,7,Martínez Daniel FelipeRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,240,80,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,8,Laurance AxelINEOS Grenadiers,INEOS Grenadiers,200,70,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,9,Pidcock ThomasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,160,60,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,10,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,135,50,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,11,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,110,46,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,12,Onley OscarTeam Picnic PostNL,Team Picnic PostNL,95,42,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,13,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,85,38,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,14,Verstrynge EmielAlpecin - Deceuninck,Alpecin - Deceuninck,65,34,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,15,Aranburu AlexCofidis,Cofidis,55,30,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,16,Van Eetvelt LennertLotto,Lotto,50,28,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,17,Leknessund AndreasUno-X Mobility,Uno-X Mobility,50,26,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,18,Paret-Peintre AurélienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,50,24,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,19,Grégoire RomainGroupama - FDJ,Groupama - FDJ,50,22,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,20,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,50,20,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,21,Martin GuillaumeGroupama - FDJ,Groupama - FDJ,30,19,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,22,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,30,18,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,23,Scaroni ChristianXDS Astana Team,XDS Astana Team,30,17,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,24,Jegat JordanTeam TotalEnergies,Team TotalEnergies,30,16,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,25,Barré LouisIntermarché - Wanty,Intermarché - Wanty,30,15,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,26,McNulty BrandonUAE Team Emirates - XRG,UAE Team Emirates - XRG,30,14,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,27,Adrià RogerRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,30,13,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,28,Berthet ClémentDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,30,12,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,29,Bilbao PelloBahrain - Victorious,Bahrain - Victorious,30,11,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,30,Baudin AlexEF Education - EasyPost,EF Education - EasyPost,30,10,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,31,Valter AttilaTeam Visma | Lease a Bike,Team Visma | Lease a Bike,15,9,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,32,Blackmore JosephIsrael - Premier Tech,Israel - Premier Tech,15,8,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,33,Rodríguez CarlosINEOS Grenadiers,INEOS Grenadiers,15,7,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,34,Izagirre IonCofidis,Cofidis,15,6,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,35,Vansevenant MauriSoudal Quick-Step,Soudal Quick-Step,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,36,Ulissi DiegoXDS Astana Team,XDS Astana Team,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,37,Buitrago SantiagoBahrain - Victorious,Bahrain - Victorious,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,38,Sivakov PavelUAE Team Emirates - XRG,UAE Team Emirates - XRG,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,39,Skjelmose MattiasLidl - Trek,Lidl - Trek,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,40,Lutsenko AlexeyIsrael - Premier Tech,Israel - Premier Tech,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,41,Sheffield MagnusINEOS Grenadiers,INEOS Grenadiers,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,42,Harper ChrisTeam Jayco AlUla,Team Jayco AlUla,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,43,Schultz NickIsrael - Premier Tech,Israel - Premier Tech,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,44,O'Connor BenTeam Jayco AlUla,Team Jayco AlUla,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,45,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,46,Tronchon BastienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,47,Hermans QuintenAlpecin - Deceuninck,Alpecin - Deceuninck,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,48,Zimmermann GeorgIntermarché - Wanty,Intermarché - Wanty,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,49,Conci NicolaXDS Astana Team,XDS Astana Team,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,50,Vauquelin KévinArkéa - B&B Hotels,Arkéa - B&B Hotels,15,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,51,Zana FilippoTeam Jayco AlUla,Team Jayco AlUla,10,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,52,Geniets KevinGroupama - FDJ,Groupama - FDJ,10,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,53,Haig Jack Bahrain - Victorious,Bahrain - Victorious,10,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,54,Oliveira NelsonMovistar Team,Movistar Team,10,5,2025-09-02 20:47:03
liege-bastogne-liege,2025,99,Result,Result,2025-04-27,55,Guerreiro RubenMovistar Team,Movistar Team,10,5,2025-09-02 20:47:03
