RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
milano-sanremo,2025,99,Result,Result,2025-03-22,1,van der Poel MathieuAlpecin - Deceuninck,Alpecin - Deceuninck,800,275,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,2,Ganna FilippoINEOS Grenadiers,INEOS Grenadiers,640,200,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,3,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,520,150,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,4,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,440,120,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,5,Groves KadenAlpecin - Deceuninck,Alpecin - Deceuninck,360,100,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,6,Cort MagnusUno-X Mobility,Uno-X Mobility,280,90,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,7,Pedersen MadsLidl - Trek,Lidl - Trek,240,80,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,8,Kooij OlavTeam Visma | Lease a Bike,Team Visma | Lease a Bike,200,70,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,9,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,160,60,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,10,Wright FredBahrain - Victorious,Bahrain - Victorious,135,50,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,11,Teunissen MikeXDS Astana Team,XDS Astana Team,110,46,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,12,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,95,42,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,13,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,85,38,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,14,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,65,34,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,15,Aranburu AlexCofidis,Cofidis,55,30,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,16,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,50,28,2025-09-02 20:44:28
milano-sanremo,2025,99,Result,Result,2025-03-22,17,Honoré Mikkel FrølichEF Education - EasyPost,EF Education - EasyPost,50,26,2025-09-02 20:44:28
