RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
nokere-koerse,2025,99,Result,Result,2025-03-19,1,Eekhoff NilsTeam Picnic PostNL,Team Picnic PostNL,200,125,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,2,Moschetti MatteoQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,150,85,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,3,Lamperti LukeSoudal Quick-Step,Soudal Quick-Step,125,60,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,4,Fretin MilanCofidis,Cofidis,100,50,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,5,Menten MilanLotto,Lotto,85,45,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,6,Allegaert PietCofidis,Cofidis,70,40,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,7,Askey LewisGroupama - FDJ,Groupama - FDJ,60,35,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,8,Dainese AlbertoTudor Pro Cycling Team,Tudor Pro Cycling Team,50,30,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,9,Kubiš LukášUnibet Tietema Rockets,Unibet Tietema Rockets,40,26,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,10,Hofstetter HugoIsrael - Premier Tech,Israel - Premier Tech,35,22,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,11,Fredheim StianUno-X Mobility,Uno-X Mobility,30,20,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,12,Renard AlexisCofidis,Cofidis,25,18,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,13,Livyns ArjenLotto,Lotto,20,16,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,14,Hesters JulesTeam Flanders - Baloise,Team Flanders - Baloise,15,14,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,15,Braet VitoIntermarché - Wanty,Intermarché - Wanty,10,12,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,16,Parisini NicolòQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,5,10,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,17,Baroncini FilippoUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,9,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,18,Martín GotzonEuskaltel - Euskadi,Euskaltel - Euskadi,5,8,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,19,Van Asbroeck TomIsrael - Premier Tech,Israel - Premier Tech,5,7,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,20,Bjerg MikkelUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,6,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,21,Stokbro AndreasUnibet Tietema Rockets,Unibet Tietema Rockets,5,5,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,22,Molano Juan SebastiánUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,4,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,23,Van Hautegem LeanderWagner Bazin WB,Wagner Bazin WB,5,3,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,24,Nizzolo GiacomoQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,5,2,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,25,Geens JonasTeam Flanders - Baloise,Team Flanders - Baloise,5,1,2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,26,Touzé DamienCofidis,Cofidis,5,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,27,Blikra ErlendUno-X Mobility,Uno-X Mobility,5,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,28,Resell Erik NordsæterUno-X Mobility,Uno-X Mobility,5,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,29,Renard-Haquin Henri-FrançoisWagner Bazin WB,Wagner Bazin WB,5,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,30,Bittner PavelTeam Picnic PostNL,Team Picnic PostNL,5,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,31,Borgo AlessandroBahrain - Victorious,Bahrain - Victorious,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,32,Barthe CyrilGroupama - FDJ,Groupama - FDJ,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,33,Boivin GuillaumeIsrael - Premier Tech,Israel - Premier Tech,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,34,Santy ArneTarteletto - Isorex,Tarteletto - Isorex,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,35,Gate AaronXDS Astana Team,XDS Astana Team,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,36,Van Hoecke GijsIntermarché - Wanty,Intermarché - Wanty,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,37,Stockman AbramUnibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,38,Kopecký TomášUnibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,39,Planckaert EdwardAlpecin - Deceuninck,Alpecin - Deceuninck,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,40,Froidevaux RobinTudor Pro Cycling Team,Tudor Pro Cycling Team,3,"",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,41,Van Lerberghe BertSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,42,Grisel MatysLotto,Lotto,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,43,Rickaert JonasAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,44,Wallin Rasmus Bøgh Uno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,45,Aberasturi JonEuskaltel - Euskadi,Euskaltel - Euskadi,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,46,Lambrecht MichielWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,47,Vandenstorme DylanTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,48,De Vylder LindsayTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,49,Hvideberg Jonas HemUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,50,Gelders GilSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,51,Le Huitouze EddyGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,52,Vermeersch FlorianUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,53,Weiss FabianTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,54,Kluckers ArthurTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,55,Le Gac OlivierGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,56,Moonen ZenoIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,57,van Sintmaartensdijk RoelIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,58,Söderqvist JakobLidl - Trek,Lidl - Trek,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,59,Ghys RobbeAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,60,Ermakov RomanBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,61,Davy ClémentGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,62,Vaneeckhoutte VictorLotto,Lotto,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,63,Liepiņš EmīlsQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,64,Verwilt MauroTarteletto - Isorex,Tarteletto - Isorex,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,65,Declercq TimLidl - Trek,Lidl - Trek,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,66,Vergaerde OttoLidl - Trek,Lidl - Trek,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,67,Belmans LennertAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,68,Eddy PatrickTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,69,De Lie ArnaudLotto,Lotto,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,70,De Gendt AiméCofidis,Cofidis,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,71,Van Rooy KennethWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,72,Kolze Changizi SebastianTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,73,Müller TobiasIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,74,Grignard SébastienLotto,Lotto,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,75,Romele AlessandroXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,76,Bol CeesXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,77,Claeys RobbeTarteletto - Isorex,Tarteletto - Isorex,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,78,Lanhove MilanTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,79,Teugels Lennert Tarteletto - Isorex,Tarteletto - Isorex,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,80,Johannink Jelle Unibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,81,Heming MikáTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,82,Małecki KamilQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,83,Colman Alex Team Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,84,Vangheluwe WarreSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,85,Blouwe LouisTarteletto - Isorex,Tarteletto - Isorex,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,86,Marit ArneIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,87,De Pooter DriesIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,88,Dhondt RobbeTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,89,Naberman TimTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,90,Persico DavideWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,91,Baguelin JocelynWagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,92,Roosen TimoTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,93,Giaimi LucaUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,94,Walls MatthewGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,95,Bower LewisGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,96,Bruttomesso AlbertoBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,97,Vernon EthanIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,98,Staes GibbeUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,99,Urianstad Bugge MartinUno-X Mobility,Uno-X Mobility,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,100,Schwarzmann MichaelIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,101,Vanden Heede LarsSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,102,Raccagni Noviero AndreaSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,103,Gazzoli MicheleXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,104,Dekker DavidEuskaltel - Euskadi,Euskaltel - Euskadi,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,105,van der Tuuk DannyEuskaltel - Euskadi,Euskaltel - Euskadi,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,106,de Vries HartthijsUnibet Tietema Rockets,Unibet Tietema Rockets,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,107,Deweirdt SiebeTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,108,Stockwell OliverBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,109,Robeet LudovicCofidis,Cofidis,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,110,Pickrell RileyIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Janssens JimmyAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Boven LarsAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Finé EddyCofidis,Cofidis,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Consonni SimoneLidl - Trek,Lidl - Trek,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Pedersen MartinLidl - Trek,Lidl - Trek,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Kanter MaxXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:53:46
nokere-koerse,2025,99,Result,Result,2025-03-19,DNF,Townsend RoryQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 12:53:46
