RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,1,Wærenskjold SørenUno-X Mobility,Uno-X Mobility,300,225,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,2,Magnier PaulSoudal Quick-Step,Soudal Quick-Step,250,150,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,3,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,215,110,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,4,Van Moer BrentLotto,Lotto,175,90,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,5,Watson SamuelINEOS Grenadiers,INEOS Grenadiers,120,80,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,6,Kubiš LukášUnibet Tietema Rockets,Unibet Tietema Rockets,115,70,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,7,Allegaert PietCofidis,Cofidis,95,60,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,8,Albanese VincenzoEF Education - EasyPost,EF Education - EasyPost,75,50,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,9,van den Berg MarijnEF Education - EasyPost,EF Education - EasyPost,60,46,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,10,Askey LewisGroupama - FDJ,Groupama - FDJ,50,42,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,11,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,40,38,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,12,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,35,34,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,13,Pedersen Rasmus SøjbergDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,30,30,2025-09-02 20:42:44
omloop-het-nieuwsblad,2025,99,Result,Result,2025-03-01,14,Renard AlexisCofidis,Cofidis,25,26,2025-09-02 20:42:44
