RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
paris-tours,2025,99,Result,Result,2025-10-12,1,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,200,125,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,2,Laporte ChristopheTeam Visma | Lease a Bike,Team Visma | Lease a Bike,150,85,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,3,Withen Philipsen AlbertLidl - Trek,Lidl - Trek,125,60,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,4,Lapeira PaulDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,100,50,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,5,Gruel ThibaudGroupama - FDJ,Groupama - FDJ,85,45,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,6,Bissegger StefanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,70,40,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,7,Vacek MathiasLidl - Trek,Lidl - Trek,60,35,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,8,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,50,30,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,9,Stuyven JasperLidl - Trek,Lidl - Trek,40,26,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,10,Covi AlessandroUAE Team Emirates - XRG,UAE Team Emirates - XRG,35,22,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,11,Eekhoff NilsTeam Picnic PostNL,Team Picnic PostNL,30,20,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,12,Madouas ValentinGroupama - FDJ,Groupama - FDJ,25,18,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,13,Page HugoIntermarché - Wanty,Intermarché - Wanty,20,16,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,14,Kubiš LukášUnibet Tietema Rockets,Unibet Tietema Rockets,15,14,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,15,Bévort Carl-FrederikUno-X Mobility,Uno-X Mobility,10,12,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,16,Dujardin SandyTeam TotalEnergies,Team TotalEnergies,5,10,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,17,Jacobs Johan Groupama - FDJ,Groupama - FDJ,5,9,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,18,Isidore NoaDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,5,8,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,19,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,5,7,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,20,Le Gac OlivierGroupama - FDJ,Groupama - FDJ,5,6,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,21,Breuillard NicolasSt Michel - Preference Home - Auber93,St Michel - Preference Home - Auber93,5,5,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,22,Bjerg MikkelUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,4,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,23,De Bondt DriesDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,5,3,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,24,Sheehan RileyIsrael - Premier Tech,Israel - Premier Tech,5,2,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,25,Labrosse Jordan Decathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,5,1,2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,26,Louvel MatisIsrael - Premier Tech,Israel - Premier Tech,5,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,27,Pluimers RickTudor Pro Cycling Team,Tudor Pro Cycling Team,5,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,28,Sénéchal FlorianArkéa - B&B Hotels,Arkéa - B&B Hotels,5,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,29,Dauphin FlorianTeam TotalEnergies,Team TotalEnergies,5,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,30,Teutenberg Tim TornLidl - Trek,Lidl - Trek,5,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,31,Abrahamsen JonasUno-X Mobility,Uno-X Mobility,3,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,32,Huens AxelUnibet Tietema Rockets,Unibet Tietema Rockets,3,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,33,Resell Erik NordsæterUno-X Mobility,Uno-X Mobility,3,"",2025-10-19 10:52:28
paris-tours,2025,99,Result,Result,2025-10-12,34,Mayrhofer MariusTudor Pro Cycling Team,Tudor Pro Cycling Team,3,"",2025-10-19 10:52:28
