RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
renewi-tour,2025,1,Stage 1,Normal stage,20/08,1,Merlier TimSoudal Quick-Step,Soudal Quick-Step,50,50,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,2,De Lie ArnaudLotto,Lotto,30,30,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,3,Molano Juan SebastiánUAE Team Emirates - XRG,UAE Team Emirates - XRG,25,18,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,4,Bittner PavelTeam Picnic PostNL,Team Picnic PostNL,20,13,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,5,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,15,10,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,6,Turner BenINEOS Grenadiers,INEOS Grenadiers,10,7,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,7,Kooij OlavTeam Visma | Lease a Bike,Team Visma | Lease a Bike,8,4,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,8,Ballerini DavideXDS Astana Team,XDS Astana Team,6,3,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,9,Gaviria FernandoMovistar Team,Movistar Team,3,2,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,10,Dehairs SimonAlpecin - Deceuninck,Alpecin - Deceuninck,1,1,2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,11,Gudmestad TordDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,12,de Kleijn ArvidTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,13,Capiot AmauryArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,14,van Dijke MickRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,15,Groenewegen DylanTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,16,Hesters JulesTeam Flanders - Baloise,Team Flanders - Baloise,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,17,Fretin MilanCofidis,Cofidis,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,18,Simmons ColbyEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,19,Govekar MatevžBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,20,Penhoët PaulGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,21,Walscheid MaxTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,22,Naesen OliverDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,23,Teunissen Mike XDS Astana Team,XDS Astana Team,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,24,van der Poel MathieuAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,25,Stuyven Jasper Lidl - Trekfav_gc,Lidl - Trek,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,26,Del Grosso Tibor Alpecin - Deceuninckfav_gc,Alpecin - Deceuninck,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,27,Kubiš LukášUnibet Tietema Rocketsfav_gc,Unibet Tietema Rockets,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,28,Van Rooy Kenneth Wagner Bazin WB,Wagner Bazin WB,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,29,Flynn SeanTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,30,Oliveira RuiUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,31,Eekhoff NilsTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,32,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,33,Donaldson RobertTeam Jayco AlUla,Team Jayco AlUla,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,34,Mohorič MatejBahrain - Victoriousfav_gc,Bahrain - Victorious,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,35,Madouas ValentinGroupama - FDJfav_gc,Groupama - FDJ,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,36,Pluimers Rick Tudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,37,Mahoudo NolannCofidis,Cofidis,"","",2025-08-25 14:15:43
renewi-tour,2025,1,Stage 1,Normal stage,20/08,38,Vacek MathiasLidl - Trekfav_gc,Lidl - Trek,"","",2025-08-25 14:15:43
