RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,1,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,800,275,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,2,Pedersen MadsLidl - Trek,Lidl - Trek,640,200,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,3,van der Poel MathieuAlpecin - Deceuninck,Alpecin - Deceuninck,520,150,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,4,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,440,120,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,5,Stuyven JasperLidl - Trek,Lidl - Trek,360,100,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,6,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,280,90,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,7,Küng StefanGroupama - FDJ,Groupama - FDJ,240,80,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,8,Ganna FilippoINEOS Grenadiers,INEOS Grenadiers,200,70,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,9,García Cortina IvánMovistar Team,Movistar Team,160,60,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,10,Ballerini DavideXDS Astana Team,XDS Astana Team,135,50,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,11,Pithie LaurenceRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,110,46,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,12,Teunissen MikeXDS Astana Team,XDS Astana Team,95,42,2025-08-25 12:55:00
ronde-van-vlaanderen,2025,99,Result,Result,2025-04-06,13,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,85,38,2025-08-25 12:55:00
