RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,1,Grégoire RomainGroupama - FDJfav_gc,Groupama - FDJ,20,30,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,2,van den Berg MarijnEF Education - EasyPost,EF Education - EasyPost,15,18,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,3,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,10,12,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,4,Vendrame AndreaDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,5,7,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,5,Del Grosso TiborAlpecin - Deceuninckfav_gc,Alpecin - Deceuninck,3,4,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,6,Kragh Andersen SørenLidl - Trek,Lidl - Trek,"",3,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,7,Ballabio GiacomoHrinkow Advarics,Hrinkow Advarics,"",2,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,8,Narváez JhonatanUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"",1,2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,9,Burgaudeau MathieuTeam TotalEnergies,Team TotalEnergies,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,10,Reinderink PepijnSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,11,Kulset JohannesUno-X Mobility,Uno-X Mobility,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,12,Wenzel MatsEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,13,Carapaz RichardEF Education - EasyPostfav_gc,EF Education - EasyPost,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,14,Jegat JordanTeam TotalEnergiesfav_gc,Team TotalEnergies,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,15,Nørtoft Morten AallingTeam ColoQuick,Team ColoQuick,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,16,Healy BenEF Education - EasyPostfav_gc,EF Education - EasyPost,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,17,Bévort Carl-FrederikUno-X Mobility,Uno-X Mobility,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,18,McNulty BrandonUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,19,Skjelmose MattiasLidl - Trekfav_gc,Lidl - Trek,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,20,Brenner MarcoTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,21,Skujiņš TomsLidl - Trek,Lidl - Trek,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,22,Prodhomme NicolasDecathlon AG2R La Mondiale Teamfav_gc,Decathlon AG2R La Mondiale Team,"","",2025-09-22 22:13:42
tour-de-luxembourg,2025,1,Stage 1,Normal stage,17/09,23,Rondel MathysTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-09-22 22:13:42
