RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
tour-down-under,2025,1,Stage 1,Normal stage,21/01,1,Welsford SamRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,60,50,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,2,Brennan MatthewTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,40,30,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,3,Walls MatthewGroupama - FDJ,Groupama - FDJ,30,18,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,4,Teutenberg Tim TornLidl - Trek,Lidl - Trek,25,13,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,5,Swift BenINEOS Grenadiers,INEOS Grenadiers,20,10,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,6,Dehairs SimonAlpecin - Deceuninck,Alpecin - Deceuninck,15,7,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,7,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,10,4,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,8,Oliveira RuiUAE Team Emirates - XRG,UAE Team Emirates - XRG,8,3,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,9,Bauhaus PhilBahrain - Victorious,Bahrain - Victorious,5,2,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,10,Mosca JacopoLidl - Trek,Lidl - Trek,2,1,2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,11,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,"","",2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,12,Uhlig HenriAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,13,Gate AaronXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:48:22
tour-down-under,2025,1,Stage 1,Normal stage,21/01,14,Scott CameronAustralia,Australia,"","",2025-08-25 12:48:22
