RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
uae-tour,2025,1,Stage 1,Normal stage,17/02,1,Milan JonathanLidl - Trek,Lidl - Trek,40,50,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,2,Fisher-Black FinnRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,25,30,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,2,Fisher-Black FinnRed Bull - BORA - hansgrohefav_gc,Red Bull - BORA - hansgrohe,25,30,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,3,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,20,18,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,4,Van Eetvelt LennertLottofav_gc,Lotto,15,13,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,5,Onley OscarTeam Picnic PostNLfav_gc,Team Picnic PostNL,10,10,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,6,Gate AaronXDS Astana Team,XDS Astana Team,8,7,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,7,Tejada HaroldXDS Astana Team,XDS Astana Team,6,4,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,8,Taminiaux LionelLotto,Lotto,3,3,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,9,Bauhaus PhilBahrain - Victorious,Bahrain - Victorious,2,2,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,10,Pogačar TadejUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,1,1,2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,11,Gloag ThomasTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,12,Langellotti VictorINEOS Grenadiers,INEOS Grenadiers,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,13,Zwiehoff BenRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,14,Ciccone GiulioLidl - Trekfav_gc,Lidl - Trek,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,15,Pinarello AlessandroVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,16,van Poppel DannyRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,17,Konrad PatrickLidl - Trekfav_gc,Lidl - Trek,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,18,Riccitello MatthewIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,19,Castrillo PabloMovistar Team,Movistar Team,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,20,González Roberto CarlosTeam Solution Tech - Vini Fantini,Team Solution Tech - Vini Fantini,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,21,Goossens KobeIntermarché - Wanty,Intermarché - Wanty,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,22,Kajamini Florian SamuelXDS Astana Team,XDS Astana Team,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,23,Palzer AntonRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-08-25 12:50:24
uae-tour,2025,1,Stage 1,Normal stage,17/02,24,Træen TorsteinBahrain - Victorious,Bahrain - Victorious,"","",2025-08-25 12:50:24
