RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,1,Adrià RogerRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,20,30,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,2,Labrosse JordanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15 -15,18,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,3,Eulálio AfonsoBahrain - Victorious,Bahrain - Victorious,10,12,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,4,Bisiaux LéoDecathlon AG2R La Mondiale Teamfav_gc,Decathlon AG2R La Mondiale Team,5,7,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,5,Caruso DamianoBahrain - Victoriousfav_gc,Bahrain - Victorious,3,4,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,6,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"",3,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,7,Eriksson LucasTudor Pro Cycling Team,Tudor Pro Cycling Team,"",2,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,8,Bernal EganINEOS Grenadiersfav_gc,INEOS Grenadiers,"",1,2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,9,Ryan ArchieEF Education - EasyPost,EF Education - EasyPost,"","",2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,10,Rivera Brandon SmithINEOS Grenadiers,INEOS Grenadiers,"","",2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,11,Kulset JohannesUno-X Mobility,Uno-X Mobility,"","",2025-08-25 13:02:04
vuelta-a-burgos,2025,1,Stage 1,Normal stage,05/08,12,Howson DamienQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-08-25 13:02:04
