RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,1,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,180,80,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,2,Vernon EthanIsrael - Premier Tech,Israel - Premier Tech,130,50,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,3,Aular OrluisMovistar Team,Movistar Team,95,35,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,4,Viviani EliaLotto,Lotto,80,25,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,5,García Cortina IvánMovistar Team,Movistar Team,60,18,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,6,González DavidQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,45,15,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,7,Coquard BryanCofidis,Cofidis,40,12,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,8,Silva Guillermo ThomasCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,35,10,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,9,Pidcock ThomasQ36.5 Pro Cycling Teamfav_gc,Q36.5 Pro Cycling Team,30,8,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,10,Mihkels MadisEF Education - EasyPost,EF Education - EasyPost,25,6,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,11,van Dijke TimRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,20,5,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,12,Turner BenINEOS Grenadiers,INEOS Grenadiers,15,4,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,13,Planckaert EdwardAlpecin - Deceuninck,Alpecin - Deceuninck,10,3,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,14,Pedersen MadsLidl - Trek,Lidl - Trek,5,2,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,15,Cavia DanielBurgos Burpellet BH,Burgos Burpellet BH,2,1,2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,16,van Uden CasperTeam Picnic PostNL,Team Picnic PostNL,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,17,Garofoli GianmarcoSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,18,Aniołkowski StanisławCofidis,Cofidis,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,19,Stewart JakeIsrael - Premier Tech,Israel - Premier Tech,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,20,Marit ArneIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,21,Reinderink Pepijn Soudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,22,Biermans JentheArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,23,Zingle AxelTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,24,Gruel ThibaudGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,25,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,26,Fagúndez Eric AntonioBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,27,Bjerg MikkelUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,28,Buitrago SantiagoBahrain - Victorious,Bahrain - Victorious,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,29,Lozouet LéandreArkéa - B&B Hotels,Arkéa - B&B Hotels,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,30,Rickaert JonasAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,31,Oliveira IvoUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,32,Hindley JaiRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,33,Artz HuubIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,34,Kragh Andersen SørenLidl - Trek,Lidl - Trek,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,35,De Pooter DriesIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,36,Canal CarlosMovistar Team,Movistar Team,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,37,Foldager AndersTeam Jayco AlUla,Team Jayco AlUla,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,38,Labrosse JordanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,39,Armirail BrunoDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,40,Molard RudyGroupama - FDJ,Groupama - FDJ,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,41,Vingegaard JonasTeam Visma | Lease a Bikefav_gc,Team Visma | Lease a Bike,"","",2025-09-02 20:53:41
vuelta-a-espana,2025,1,Stage 1,Normal stage,23/08,42,Conci NicolaXDS Astana Team,XDS Astana Team,"","",2025-09-02 20:53:41
