RiderName_Zweeler,RiderName_PCS,RiderTeam,RiderPrice
"Aberasturi, Jon",Aberasturi Jon,Euskaltel - Euskadi,2.7
"Abrahamsen, Jonas",Abrahamsen Jonas,Uno-X Mobility,6.2
"Ackermann, Pascal",Ackermann Pascal,Israel - Premier Tech,6.6
"Adrià, Roger",Adrià Roger,Red Bull - BORA - hansgrohe,6.8
"Aert, Wout van",Van Aert Wout,Team Visma - Lease a Bike,37.4
"Affini, Edoardo",Affini Edoardo,Team Visma - Lease a Bike,3.3
"Agirre, Jon",Agirre Jon,Euskaltel - Euskadi,1.0
"Alaphilippe, Julian",Alaphilippe Julian,Tudor Pro Cycling Team,13.7
"Albanese, Vincenzo",Albanese Vincenzo,EF Education - EasyPost,5.9
"Aleotti, Giovanni",Aleotti Giovanni,Red Bull - BORA - hansgrohe,2.5
"Allegaert, Piet",Allegaert Piet,Cofidis,1.3
"Alleno, Clément",Alleno Clément,Burgos Burpellet BH,1.0
"Almeida, João",Almeida João,UAE Emirates XRG,23.8
"Alustiza, Nicolás",Alustiza Nicolás,Euskaltel - Euskadi,1.0
"Alvarez, Rodrigo",Álvarez Rodrigo,Burgos Burpellet BH,1.0
"Andersen, Søren Kragh",Kragh Andersen Søren,Lidl - Trek,4.5
"Andresen, Tobias Lund",Andresen Tobias Lund,Team Picnic PostNL,4.4
"Angulo, Antonio",Angulo Antonio,Burgos Burpellet BH,1.0
"Aniołkowski, Stanisław",Aniołkowski Stanisław,Cofidis,5.4
"Aparicio, Mario",Aparicio Mario,Burgos Burpellet BH,1.0
"Aranburu, Alex",Aranburu Alex,Cofidis,8.8
"Arashiro, Yukiya",Arashiro Yukiya,Toscana Factory Team Vini Fantini,1.0
"Arcas, Jorge",Arcas Jorge,Movistar Team,1.0
"Arensman, Thymen",Arensman Thymen,INEOS Grenadiers,13.9
"Armirail, Bruno",Armirail Bruno,Decathlon AG2R La Mondiale,2.8
"Armitt, Hamish",Armitt Hamish,Team Novo Nordisk,1.0
"Arndt, Nikias",Arndt Nikias,Bahrain Victorious,2.0
"Arrieta, Igor",Arrieta Igor,UAE Emirates XRG,1.5
"Arriolabengoa, Julen",Arriola-Bengoa Julen,Caja Rural - Seguros RGA,1.0
"Artz, Huub",Artz Huub,Intermarché - Wanty,1.8
"Asbroeck, Tom Van",Van Asbroeck Tom,Israel - Premier Tech,1.4
"Asgreen, Kasper",Asgreen Kasper,EF Education - EasyPost,6.2
"Askey, Lewis",Askey Lewis,Groupama - FDJ,3.8
"August, AJ",August Andrew,INEOS Grenadiers,1.1
"Aular, Orluis",Aular Orluis,Movistar Team,4.1
"Ayuso, Juan",Ayuso Juan,UAE Emirates XRG,25.2
"Azanza, Ibai",Azanza Ibai,Equipo Kern Pharma,1.0
