RiderName_Zweeler,ValgtAf,ValgtAfPct
"Pogačar, Tadej",1423,92
"Vingegaard, Jonas",1059,69
"Nys, Thibau",948,61
"Andresen, Tobias Lund",917,59
"Philipsen, Jasper",872,56
"Pedersen, Mads",810,52
"Magnier, Paul",795,51
"Morgado, António",764,49
"Poole, Max",762,49
"Lie, Arnaud De",735,48
"Milan, Jonathan",665,43
"Martinez, Lenny",664,43
"Teutenberg, Tim Torn",657,43
"Laurance, Axel",640,41
"Aert, Wout van",625,40
"Welsford, Sam",596,39
"Mihkels, Madis",588,38
"Withen Philipsen, Albert",560,36
"Merlier, Tim",559,36
"Ayuso, Juan",530,34
"Staune-Mittet, Johannes",496,32
"Behrens, Niklas",457,30
"Torres, Pablo",453,29
"Roglič, Primož",415,27
"Girmay, Biniam",406,26
"Narváez, Jhonatan",402,26
"Hirschi, Marc",390,25
"Eetvelt, Lennert Van",389,25
"Christen, Jan",388,25
"Jorgenson, Matteo",384,25
"Pithie, Laurence",343,22
"Onley, Oscar",331,21
"Romeo, Iván",330,21
"Tiberi, Antonio",330,21
"Almeida, João",306,20
"Lazkano, Oier",303,20
"Pellizzari, Giulio",302,20
"Grégoire, Romain",295,19
"Williams, Stevie",284,18
"Jeanniere, Emilien",279,18
"Kooij, Olav",267,17
"Gee, Derek",252,16
"Carapaz, Richard",251,16
"Plapp, Luke",249,16
"Poel, Mathieu van der",248,16
"Lapeira, Paul",242,16
"Vine, Jay",241,16
"Blackmore, Joe",237,15
"Fretin, Milan",236,15
"Evenepoel, Remco",226,15
"Uijtdebroeks, Cian",226,15
"Mas, Enric",225,15
"Yates, Simon",225,15
"Pidcock, Tom",212,14
"Seixas, Paul",206,13
"Skjelmose, Mattias",200,13
"Gautherat, Pierre",197,13
"Zingle, Axel",197,13
"Fisher-Black, Finn",196,13
"Strong, Corbin",196,13
"Landa, Mikel",191,12
"Del Grosso, Tibor",188,12
"Nordhagen, Jørgen",188,12
"Brennan, Matthew",184,12
"Penhoët, Paul",182,12
"Gaudu, David",178,12
"Kleijn, Arvid de",175,11
"Tarling, Josh",172,11
"Riccitello, Matthew",167,11
"Bettiol, Alberto",166,11
"Segaert, Alec",159,10
"Berckmoes, Jenno",155,10
"Gloag, Thomas",149,10
"Lecerf, Junior",140,9
"Rodriguez, Carlos",135,9
"Meeus, Jordi",129,8
"Vermeersch, Florian",129,8
"Watson, Sam",129,8
"Pescador, Diego",126,8
"Ulissi, Diego",126,8
"Schmid, Mauro",122,8
"Del Toro, Isaac",121,8
"Nerurkar, Lukas",120,8
"Gils, Maxim Van",117,8
"O'Connor, Ben",111,7
"Buitrago, Santiago",106,7
"Lipowitz, Florian",106,7
"Gall, Felix",104,7
"Aranburu, Alex",103,7
"Vacek, Mathias",101,7
"Hindley, Jai",99,6
"Thijssen, Gerben",95,6
"Ciccone, Giulio",92,6
"Cosnefroy, Benoît",92,6
"Bernal, Egan",91,6
"Skujins, Toms",91,6
"Adrià, Roger",90,6
"Baarle, Dylan van",90,6
"Bauhaus, Phil",89,6
"Rex, Laurenz",89,6
"Bittner, Pavel",86,6
"August, AJ",81,5
"Sheffield, Magnus",75,5
"Vauquelin, Kévin",75,5
"Hayter, Ethan",72,5
"Uhlig, Henri",72,5
"McNulty, Brandon",71,5
"Ganna, Filippo",70,5
"Teuns, Dylan",70,5
"Uden, Casper van",69,4
"Yates, Adam",69,4
"Aular, Orluis",68,4
"Groves, Kaden",68,4
"Paret-Peintre, Valentin",68,4
"Schachmann, Maximilian",65,4
"Buchmann, Emanuel",62,4
"Healy, Ben",62,4
"Mozzato, Luca",62,4
"Marit, Arne",61,4
"Artz, Huub",59,4
"Powless, Neilson",57,4
"Madouas, Valentin",56,4
"Bilbao, Pello",55,4
"Krijnsen, Jelte",55,4
"Groenewegen, Dylan",54,3
"Wærenskjold, Søren",54,3
"Harper, Chris",53,3
"Castrillo, Pablo",52,3
"Martínez, Daniel",52,3
"Zambanini, Edoardo",52,3
"Wilder, Ilan Van",51,3
"Affini, Edoardo",50,3
"Küng, Stefan",50,3
"Bouwman, Koen",49,3
"Quintana, Nairo",49,3
"Jakobsen, Fabio",48,3
"Stuyven, Jasper",47,3
"Alaphilippe, Julian",45,3
"De Pretto, Davide",45,3
"Malucelli, Matteo",44,3
"Steinhauser, Georg",44,3
"Vlasov, Aleksandr",44,3
"Berg, Marijn van den",41,3
"Coquard, Bryan",41,3
"Johannessen, Tobias",40,3
"Kogut, Oded",40,3
"Gate, Aaron",39,3
"Glivar, Gal",39,3
"Pedersen, Rasmus Søjberg",39,3
"Bol, Cees",38,2
"Govekar, Matevž",38,2
"Lafay, Victor",38,2
"Politt, Nils",38,2
"Matthews, Michael",36,2
"Broek, Frank van den",35,2
"Cort, Magnus",35,2
"Laporte, Christophe",35,2
"Ackermann, Pascal",34,2
"Dehairs, Simon",34,2
"Rafferty, Darren",34,2
"Arensman, Thymen",33,2
"Cepeda, Jefferson Alveiro",33,2
"Foldager, Anders",33,2
"Naesen, Oliver",33,2
"Price-Pejtersen, Johan",33,2
"Geoghegan Hart, Tao",32,2
"Graat, Tijmen",32,2
"Thomas, Geraint",32,2
"Zana, Filippo",32,2
"Baudin, Alex",31,2
"Busatto, Francesco",31,2
"Gaviria, Fernando",31,2
"Higuita, Sergio",31,2
"Pedersen, Casper",31,2
"Piganzoli, Davide",31,2
"Asgreen, Kasper",30,2
"Brenner, Marco",30,2
"Canal, Carlos",30,2
"Hagenes, Per Strand",30,2
"Mohorič, Matej",30,2
"Tronchon, Bastien",29,2
"Baroncini, Filippo",28,2
"Bennett, Sam",28,2
"Oliveira, Rui",27,2
"Benoot, Tiesj",26,2
"Dainese, Alberto",26,2
"Dunbar, Eddie",26,2
"Storer, Michael",26,2
"Vernon, Ethan",26,2
"Herregodts, Rune",25,2
"Lamperti, Luke",25,2
"Rubio, Einer",25,2
"Svrček, Martin",25,2
"Wellens, Tim",25,2
"Arrieta, Igor",24,2
"Simmons, Quinn",24,2
"Sivakov, Pavel",24,2
"Bisiaux, Léo",23,1
"Kron, Andreas",23,1
"Schuyteneer, Steffen De",23,1
"Bagioli, Andrea",22,1
"Dijke, Tim van",22,1
"Kanter, Max",22,1
"Romo, Javier",22,1
"Eulálio, Afonso",21,1
