ManagerName,RiderName
Chrelle,"Aert, Wout van"
Chrelle,"Almeida, João"
Chrelle,"Andresen, Tobias Lund"
Chrelle,"Brennan, Matthew"
Chrelle,"Fisher-Black, Finn"
Chrelle,"Gall, Felix"
Chrelle,"Grégoire, Romain"
Chrelle,"Hayter, Ethan"
Chrelle,"Jeanniere, Emilien"
Chrelle,"Lazkano, Oier"
Chrelle,"Lie, Arnaud De"
Chrelle,"Magnier, Paul"
Chrelle,"Nys, Thibau"
Chrelle,"Pedersen, Mads"
Chrelle,"Pidcock, Tom"
Chrelle,"Plapp, Luke"
Chrelle,"Pogačar, Tadej"
Chrelle,"Poole, Max"
Chrelle,"Rex, Laurenz"
Chrelle,"Staune-Mittet, Johannes"
Chrelle,"Tarling, Josh"
Chrelle,"Vingegaard, Jonas"
Chrelle,"Welsford, Sam"
Chrelle,"Wilder, Ilan Van"
Chrelle,"Withen Philipsen, Albert"
Hustlersen,"August, AJ"
Hustlersen,"Ayuso, Juan"
Hustlersen,"Brennan, Matthew"
Hustlersen,"Brenner, Marco"
Hustlersen,"Foldager, Anders"
Hustlersen,"Hirschi, Marc"
Hustlersen,"Kanter, Max"
Hustlersen,"Lie, Arnaud De"
Hustlersen,"Mihkels, Madis"
Hustlersen,"Morgado, António"
Hustlersen,"Narváez, Jhonatan"
Hustlersen,"Nerurkar, Lukas"
Hustlersen,"Nys, Thibau"
Hustlersen,"Onley, Oscar"
Hustlersen,"Pedersen, Mads"
Hustlersen,"Plapp, Luke"
Hustlersen,"Pogačar, Tadej"
Hustlersen,"Roglič, Primož"
Hustlersen,"Steinhauser, Georg"
Hustlersen,"Teutenberg, Tim Torn"
Hustlersen,"Uhlig, Henri"
Hustlersen,"Uijtdebroeks, Cian"
Hustlersen,"Vingegaard, Jonas"
Hustlersen,"Welsford, Sam"
Hustlersen,"Withen Philipsen, Albert"
Jappo,"Andresen, Tobias Lund"
Jappo,"Behrens, Niklas"
Jappo,"Eetvelt, Lennert Van"
Jappo,"Fisher-Black, Finn"
Jappo,"Gee, Derek"
Jappo,"Girmay, Biniam"
Jappo,"Hayter, Ethan"
Jappo,"Hirschi, Marc"
Jappo,"Jeanniere, Emilien"
Jappo,"Landa, Mikel"
Jappo,"Laurance, Axel"
Jappo,"Lie, Arnaud De"
Jappo,"Magnier, Paul"
Jappo,"Martinez, Lenny"
Jappo,"Merlier, Tim"
Jappo,"Morgado, António"
Jappo,"Nys, Thibau"
Jappo,"Pedersen, Mads"
Jappo,"Pidcock, Tom"
Jappo,"Pogačar, Tadej"
Jappo,"Powless, Neilson"
Jappo,"Rex, Laurenz"
Jappo,"Torres, Pablo"
Jappo,"Vingegaard, Jonas"
Jappo,"Withen Philipsen, Albert"
Jarma,"Aert, Wout van"
Jarma,"Artz, Huub"
Jarma,"Bagioli, Andrea"
Jarma,"Del Grosso, Tibor"
Jarma,"Frigo, Marco"
Jarma,"Geoghegan Hart, Tao"
Jarma,"Grégoire, Romain"
Jarma,"Lafay, Victor"
Jarma,"Landa, Mikel"
Jarma,"Lie, Arnaud De"
Jarma,"Louvel, Matîs"
Jarma,"Magnier, Paul"
Jarma,"Milan, Jonathan"
Jarma,"Nerurkar, Lukas"
Jarma,"Pedersen, Rasmus Søjberg"
Jarma,"Penhoët, Paul"
Jarma,"Philipsen, Jasper"
Jarma,"Poel, Mathieu van der"
Jarma,"Pogačar, Tadej"
Jarma,"Poole, Max"
Jarma,"Rex, Laurenz"
Jarma,"Schachmann, Maximilian"
Jarma,"Schmid, Mauro"
Jarma,"Sivakov, Pavel"
Jarma,"Vingegaard, Jonas"
Kenk,"Almeida, João"
Kenk,"Andresen, Tobias Lund"
Kenk,"Ayuso, Juan"
Kenk,"Baarle, Dylan van"
Kenk,"Bagioli, Andrea"
Kenk,"Brennan, Matthew"
Kenk,"Christen, Jan"
Kenk,"Dijke, Tim van"
Kenk,"Eetvelt, Lennert Van"
Kenk,"Gils, Maxim Van"
Kenk,"Kooij, Olav"
Kenk,"Kron, Andreas"
Kenk,"Magnier, Paul"
Kenk,"Milan, Jonathan"
Kenk,"Narváez, Jhonatan"
Kenk,"Nys, Thibau"
Kenk,"Pedersen, Mads"
Kenk,"Pogačar, Tadej"
Kenk,"Rex, Laurenz"
Kenk,"Rolland, Brieuc"
Kenk,"Teutenberg, Tim Torn"
Kenk,"Vermeersch, Florian"
Kenk,"Vingegaard, Jonas"
Kenk,"Wandahl, Frederik"
Kenk,"Withen Philipsen, Albert"
Knak,"Andresen, Tobias Lund"
Knak,"Carapaz, Richard"
Knak,"Girmay, Biniam"
Knak,"Grégoire, Romain"
Knak,"Healy, Ben"
Knak,"Hirschi, Marc"
Knak,"Jeanniere, Emilien"
Knak,"Lapeira, Paul"
Knak,"Martinez, Lenny"
Knak,"Merlier, Tim"
Knak,"Mollema, Bauke"
Knak,"Naesen, Oliver"
Knak,"Nys, Thibau"
Knak,"Philipsen, Jasper"
Knak,"Pidcock, Tom"
Knak,"Pogačar, Tadej"
Knak,"Roglič, Primož"
Knak,"Schachmann, Maximilian"
Knak,"Segaert, Alec"
Knak,"Strong, Corbin"
Knak,"Teuns, Dylan"
Knak,"Trentin, Matteo"
Knak,"Ulissi, Diego"
Knak,"Vingegaard, Jonas"
Knak,"Withen Philipsen, Albert"
Matti,"Aert, Wout van"
Matti,"Andresen, Tobias Lund"
Matti,"Buitrago, Santiago"
Matti,"Castrillo, Pablo"
Matti,"Fretin, Milan"
Matti,"Gall, Felix"
Matti,"Gils, Maxim Van"
Matti,"Girmay, Biniam"
Matti,"Kooij, Olav"
Matti,"Laurance, Axel"
Matti,"Lazkano, Oier"
Matti,"Martinez, Lenny"
Matti,"Merlier, Tim"
Matti,"Mihkels, Madis"
Matti,"Milan, Jonathan"
Matti,"Morgado, António"
Matti,"Nys, Thibau"
Matti,"Pedersen, Mads"
Matti,"Rodriguez, Carlos"
Matti,"Romeo, Iván"
Matti,"Seixas, Paul"
Matti,"Skjelmose, Mattias"
Matti,"Staune-Mittet, Johannes"
Matti,"Vingegaard, Jonas"
Matti,"Withen Philipsen, Albert"
Okholm,"Adrià, Roger"
Okholm,"Aert, Wout van"
Okholm,"Aleotti, Giovanni"
Okholm,"Andresen, Tobias Lund"
Okholm,"Broek, Frank van den"
Okholm,"Gee, Derek"
Okholm,"Geoghegan Hart, Tao"
Okholm,"Girmay, Biniam"
Okholm,"Laurance, Axel"
Okholm,"Lazkano, Oier"
Okholm,"Lie, Arnaud De"
Okholm,"Lipowitz, Florian"
Okholm,"Martinez, Lenny"
Okholm,"Milan, Jonathan"
Okholm,"Onley, Oscar"
Okholm,"Plus, Laurens De"
Okholm,"Pogačar, Tadej"
Okholm,"Rafferty, Darren"
Okholm,"Sheehan, Riley"
Okholm,"Sheffield, Magnus"
Okholm,"Sivakov, Pavel"
Okholm,"Vacek, Mathias"
Okholm,"Vingegaard, Jonas"
Okholm,"Withen Philipsen, Albert"
Okholm,"Yates, Simon"
Tommy,"Abrahamsen, Jonas"
Tommy,"Aert, Wout van"
Tommy,"Andresen, Tobias Lund"
Tommy,"Campenaerts, Victor"
Tommy,"Eetvelt, Lennert Van"
Tommy,"Kooij, Olav"
Tommy,"Lapeira, Paul"
Tommy,"Magnier, Paul"
Tommy,"Martinez, Lenny"
Tommy,"Merlier, Tim"
Tommy,"Nys, Thibau"
Tommy,"Pedersen, Mads"
Tommy,"Pellizzari, Giulio"
Tommy,"Pithie, Laurence"
Tommy,"Pogačar, Tadej"
Tommy,"Rafferty, Darren"
