RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
brabantse-pijl,2025,99,Result,Result,2025-04-18,1,Evenepoel RemcoSoudal Quick-Step,Soudal Quick-Step,200,125,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,2,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,150,85,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,3,Morgado AntónioUAE Team Emirates - XRG,UAE Team Emirates - XRG,125,60,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,4,Aranburu AlexCofidis,Cofidis,100,50,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,5,Prades EduardCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,85,45,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,6,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,70,40,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,7,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,60,35,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,8,Silva Guillermo ThomasCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,50,30,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,9,Menten MilanLotto,Lotto,40,26,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,10,Del Grosso TiborAlpecin - Deceuninck,Alpecin - Deceuninck,35,22,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,11,Pidcock ThomasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,30,20,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,12,Miquel PauEquipo Kern Pharma,Equipo Kern Pharma,25,18,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,13,Van Boven LucaIntermarché - Wanty,Intermarché - Wanty,20,16,2025-08-25 12:55:47
brabantse-pijl,2025,99,Result,Result,2025-04-18,14,Strong CorbinIsrael - Premier Tech,Israel - Premier Tech,15,14,2025-08-25 12:55:47
