RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
coppa-bernocchi,2025,99,Result,Result,2025-10-06,1,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,200,125,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,2,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,150,85,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,3,Lonardi GiovanniTeam Polti VisitMalta,Team Polti VisitMalta,125,60,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,4,Raccagni Noviero AndreaSoudal Quick-Step,Soudal Quick-Step,100,50,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,5,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,85,45,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,6,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,70,40,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,7,Wright FredBahrain - Victorious,Bahrain - Victorious,60,35,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,8,Magli FilippoVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,50,30,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,9,Hoelgaard MarkusUno-X Mobility,Uno-X Mobility,40,26,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,10,Busatto FrancescoIntermarché - Wanty,Intermarché - Wanty,35,22,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,11,Ballerini DavideXDS Astana Team,XDS Astana Team,30,20,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,12,Oliveira IvoUAE Team Emirates - XRG,UAE Team Emirates - XRG,25,18,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,13,Maestri MircoTeam Polti VisitMalta,Team Polti VisitMalta,20,16,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,14,Remijn SennaAlpecin - Deceuninck,Alpecin - Deceuninck,15,14,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,15,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,10,12,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,16,Løland Sakarias KollerUno-X Mobility,Uno-X Mobility,5,10,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,17,González DavidQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,5,9,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,18,Mosca JacopoLidl - Trek,Lidl - Trek,5,8,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,19,Oldani StefanoCofidis,Cofidis,5,7,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,20,Vendrame AndreaDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,5,6,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,21,Aranburu AlexCofidis,Cofidis,5,5,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,22,Van Tricht StanAlpecin - Deceuninck,Alpecin - Deceuninck,5,4,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,23,Bagioli AndreaLidl - Trek,Lidl - Trek,5,3,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,24,Simmons ColbyEF Education - EasyPost,EF Education - EasyPost,5,2,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,25,Bais MattiaTeam Polti VisitMalta,Team Polti VisitMalta,5,1,2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,26,Vlasov AleksandrRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,5,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,27,Barrenetxea JonMovistar Team,Movistar Team,5,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,28,Albanese VincenzoEF Education - EasyPost,EF Education - EasyPost,5,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,29,Fancellu AlessandroTeam UKYO,Team UKYO,5,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,30,Fagúndez Eric AntonioBurgos Burpellet BH,Burgos Burpellet BH,5,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,31,Fiorelli FilippoVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,32,Izquierdo ClémentCofidis,Cofidis,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,33,Lemmen BartTeam Visma | Lease a Bike,Team Visma | Lease a Bike,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,34,Pinarello AlessandroVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,35,Okamika AnderBurgos Burpellet BH,Burgos Burpellet BH,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,36,Graat TijmenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,37,Thomas BenjaminCofidis,Cofidis,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,38,Sambinello EneaUAE Team Emirates - XRG,UAE Team Emirates - XRG,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,39,Bayer TobiasAlpecin - Deceuninck,Alpecin - Deceuninck,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,40,Kudus MerhawiBurgos Burpellet BH,Burgos Burpellet BH,3,"",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,41,Oomen SamLidl - Trek,Lidl - Trek,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,42,Peters NansDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,43,Garibbo NicolòTeam UKYO,Team UKYO,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,44,Lastra JonathanCofidis,Cofidis,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,45,Dati TommasoCofidis,Cofidis,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,46,Fernández SinuhéBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,47,García Pierna CarlosBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,48,Sevilla Diego PabloTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,49,Laengen Vegard StakeUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,50,Battistella SamueleEF Education - EasyPost,EF Education - EasyPost,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,51,Borgo AlessandroBahrain - Victorious,Bahrain - Victorious,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,52,Balmer AlexandreTeam Solution Tech - Vini Fantini,Team Solution Tech - Vini Fantini,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,53,Leknessund AndreasUno-X Mobility,Uno-X Mobility,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,54,Kajamini Florian SamuelXDS Astana Team,XDS Astana Team,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,55,Mühlberger GregorMovistar Team,Movistar Team,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,56,Withen Philipsen AlbertLidl - Trek,Lidl - Trek,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,57,Mayrhofer MariusTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,58,Bagatin ChristianMBH Bank Ballan CSB,MBH Bank Ballan CSB,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,59,Geoghegan Hart TaoLidl - Trek,Lidl - Trek,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,60,Brennan MatthewTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,61,Nordhagen JørgenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,62,Hayter Ethan Soudal Quick-Step,Soudal Quick-Step,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,63,Crescioli LudovicoTeam Polti VisitMalta,Team Polti VisitMalta,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,64,Pluimers RickTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,65,Knox JamesSoudal Quick-Step,Soudal Quick-Step,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,66,Simmons QuinnLidl - Trek,Lidl - Trek,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,67,Koerdt BjornTeam Picnic PostNL,Team Picnic PostNL,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,68,Staune-Mittet JohannesDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,69,Gualdi SimoneIntermarché - Wanty,Intermarché - Wanty,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,70,Chumil Sergio GeovaniBurgos Burpellet BH,Burgos Burpellet BH,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,71,Covi AlessandroUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-10-07 10:26:49
coppa-bernocchi,2025,99,Result,Result,2025-10-06,72,Honoré Mikkel FrølichEF Education - EasyPost,EF Education - EasyPost,"","",2025-10-07 10:26:49
