RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,1,Townsend Rory Q36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,400,225,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,2,De Lie ArnaudLotto,Lotto,320,150,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,3,Magnier PaulSoudal Quick-Step,Soudal Quick-Step,260,110,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,4,Philipsen JasperAlpecin - Deceuninck,Alpecin - Deceuninck,220,90,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,5,van Poppel DannyRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,180,80,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,6,Wright FredBahrain - Victorious,Bahrain - Victorious,140,70,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,7,Morgado AntónioUAE Team Emirates - XRG,UAE Team Emirates - XRG,120,60,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,8,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,100,50,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,9,Louvel MatisIsrael - Premier Tech,Israel - Premier Tech,80,46,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,10,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,68,42,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,11,Aranburu AlexCofidis,Cofidis,56,38,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,12,Penhoët PaulGroupama - FDJ,Groupama - FDJ,48,34,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,13,Andresen Tobias LundTeam Picnic PostNL,Team Picnic PostNL,40,30,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,14,Coquard BryanCofidis,Cofidis,32,26,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,15,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,28,22,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,16,Laurance AxelINEOS Grenadiers,INEOS Grenadiers,24,20,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,17,Mayrhofer MariusTudor Pro Cycling Team,Tudor Pro Cycling Team,24,18,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,18,Gautherat PierreDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,24,17,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,19,Tiller RasmusUno-X Mobility,Uno-X Mobility,24,16,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,20,Teunissen MikeXDS Astana Team,XDS Astana Team,24,15,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,21,Barrenetxea JonMovistar Team,Movistar Team,16,14,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,22,Boivin GuillaumeIsrael - Premier Tech,Israel - Premier Tech,16,13,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,23,Sheehan RileyIsrael - Premier Tech,Israel - Premier Tech,16,12,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,24,Tesfatsion NatnaelMovistar Team,Movistar Team,16,11,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,25,Guerreiro RubenMovistar Team,Movistar Team,16,10,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,26,van den Berg MarijnEF Education - EasyPost,EF Education - EasyPost,16,9,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,27,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,16,8,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,28,Abrahamsen JonasUno-X Mobility,Uno-X Mobility,16,7,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,29,Christen JanUAE Team Emirates - XRG,UAE Team Emirates - XRG,16,6,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,30,Rutsch JonasIntermarché - Wanty,Intermarché - Wanty,16,5,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,31,McNulty BrandonUAE Team Emirates - XRG,UAE Team Emirates - XRG,8,5,2025-08-25 17:55:55
cyclassics-hamburg,2025,99,Result,Result,2025-08-17,32,Donovan MarkQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,8,5,2025-08-25 17:55:55
