RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
deutschland-tour,2025,1,Prologue,Prologue,20/08,1,Wærenskjold SørenUno-X Mobilityfav_gc,Uno-X Mobility,20,30,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,2,Watson SamuelINEOS Grenadiersfav_gc,INEOS Grenadiers,15,18,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,3,Haller MarcoTudor Pro Cycling Team,Tudor Pro Cycling Team,10,12,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,4,Pithie LaurenceRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,5,7,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,5,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,3,4,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,6,van Poppel DannyRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"",3,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,7,Zijlaard MaikelTudor Pro Cycling Team,Tudor Pro Cycling Team,"",2,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,8,Van Mechelen VladBahrain - Victorious,Bahrain - Victorious,"",1,2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,9,Resell Erik NordsæterUno-X Mobility,Uno-X Mobility,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,10,Eenkhoorn PascalSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,11,McNulty BrandonUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,12,Lamperti LukeSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,13,Romeo IvánMovistar Teamfav_gc,Movistar Team,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,14,Mayrhofer MariusTudor Pro Cycling Team,Tudor Pro Cycling Team,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,15,Milan JonathanLidl - Trek,Lidl - Trek,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,16,Politt NilsUAE Team Emirates - XRG,UAE Team Emirates - XRG,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,17,Steimle JannikQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,18,Sheehan RileyIsrael - Premier Tech,Israel - Premier Tech,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,19,Consonni SimoneLidl - Trek,Lidl - Trek,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,20,Van Wilder IlanSoudal Quick-Stepfav_gc,Soudal Quick-Step,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,21,Raccagni Noviero AndreaSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,22,Müller TobiasIntermarché - Wanty,Intermarché - Wanty,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,23,Narváez JhonatanUAE Team Emirates - XRGfav_gc,UAE Team Emirates - XRG,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,24,Gelders GilSoudal Quick-Step,Soudal Quick-Step,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,25,Groves KadenAlpecin - Deceuninck,Alpecin - Deceuninck,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,26,Doubey FabienTeam TotalEnergies,Team TotalEnergies,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,27,Parisini NicolòQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,28,Rottmann Jonathan MalteREMBE | rad-net,REMBE | rad-net,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,29,Fredheim StianUno-X Mobility,Uno-X Mobility,"","",2025-09-02 21:51:00
deutschland-tour,2025,1,Prologue,Prologue,20/08,30,Meeus JordiRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"","",2025-09-02 21:51:00
