RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
e3-harelbeke,2025,99,Result,Result,2025-03-28,1,van der Poel MathieuAlpecin - Deceuninck,Alpecin - Deceuninck,400,225,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,2,Pedersen MadsLidl - Trek,Lidl - Trek,320,150,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,3,Ganna FilippoINEOS Grenadiers,INEOS Grenadiers,260,110,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,4,Pedersen CasperSoudal Quick-Step,Soudal Quick-Step,220,90,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,5,Stuyven JasperLidl - Trek,Lidl - Trek,180,80,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,6,Küng StefanGroupama - FDJ,Groupama - FDJ,140,70,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,7,De Gendt AiméCofidis,Cofidis,120,60,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,8,Wellens TimUAE Team Emirates - XRG,UAE Team Emirates - XRG,100,50,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,9,Jorgenson MatteoTeam Visma | Lease a Bike,Team Visma | Lease a Bike,80,46,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,10,Teunissen MikeXDS Astana Team,XDS Astana Team,68,42,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,11,Skujiņš TomsLidl - Trek,Lidl - Trek,56,38,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,12,Naesen OliverDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,48,34,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,13,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,40,30,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,14,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,32,26,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,15,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,28,22,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,16,Vermeersch GianniAlpecin - Deceuninck,Alpecin - Deceuninck,24,20,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,17,Madouas ValentinGroupama - FDJ,Groupama - FDJ,24,18,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,18,Politt NilsUAE Team Emirates - XRG,UAE Team Emirates - XRG,24,17,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,19,van Dijke TimRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,24,16,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,20,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,24,15,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,21,Louvel MatisIsrael - Premier Tech,Israel - Premier Tech,16,14,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,22,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,16,13,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,23,Livyns ArjenLotto,Lotto,16,12,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,24,Vermeersch FlorianUAE Team Emirates - XRG,UAE Team Emirates - XRG,16,11,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,25,García Cortina IvánMovistar Team,Movistar Team,16,10,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,26,Gautherat PierreDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,16,9,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,27,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,16,8,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,28,Canal CarlosMovistar Team,Movistar Team,16,7,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,29,Turgis AnthonyTeam TotalEnergies,Team TotalEnergies,16,6,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,30,Berckmoes JennoLotto,Lotto,16,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,31,Braet VitoIntermarché - Wanty,Intermarché - Wanty,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,32,Parisini NicolòQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,33,Morgado AntónioUAE Team Emirates - XRG,UAE Team Emirates - XRG,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,34,Tiller RasmusUno-X Mobility,Uno-X Mobility,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,35,Van Mechelen VladBahrain - Victorious,Bahrain - Victorious,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,36,Albanese VincenzoEF Education - EasyPost,EF Education - EasyPost,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,37,Blackmore JosephIsrael - Premier Tech,Israel - Premier Tech,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,38,Stannard RobertBahrain - Victorious,Bahrain - Victorious,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,39,Lamperti LukeSoudal Quick-Step,Soudal Quick-Step,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,40,Jacobs JohanGroupama - FDJ,Groupama - FDJ,8,5,2025-09-02 20:45:11
e3-harelbeke,2025,99,Result,Result,2025-03-28,41,De Schuyteneer SteffenLotto,Lotto,8,5,2025-09-02 20:45:11
