RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,1,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,300,225,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,2,Cort MagnusUno-X Mobility,Uno-X Mobility,250,150,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,3,Barrenetxea JonMovistar Team,Movistar Team,215,110,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,4,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,175,90,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,5,Wandahl FrederikRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,120,80,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,6,Withen Philipsen AlbertLidl - Trek,Lidl - Trek,115,70,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,7,Oldani StefanoCofidis,Cofidis,95,60,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,8,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,75,50,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,9,Denz NicoRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,60,46,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,10,Barguil WarrenTeam Picnic PostNL,Team Picnic PostNL,50,42,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,11,Covi AlessandroUAE Team Emirates - XRG,UAE Team Emirates - XRG,40,38,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,12,Zambanini EdoardoBahrain - Victorious,Bahrain - Victorious,35,34,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,13,Houle HugoIsrael - Premier Tech,Israel - Premier Tech,30,30,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,14,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,25,26,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,15,Guerreiro RubenMovistar Team,Movistar Team,20,22,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,16,Lastra JonathanCofidis,Cofidis,20,20,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,17,Velasco SimoneXDS Astana Team,XDS Astana Team,20,18,2025-09-02 20:47:34
eschborn-frankfurt,2025,99,Result,Result,2025-05-01,18,Aranburu AlexCofidis,Cofidis,20,17,2025-09-02 20:47:34
