RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gp-de-wallonie,2025,99,Result,Result,2025-09-17,1,De Lie ArnaudLotto,Lotto,200,125,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,2,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,150,85,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,3,Girmay BiniamIntermarché - Wanty,Intermarché - Wanty,125,60,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,4,Adrià RogerRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,100,50,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,5,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,85,45,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,6,Kielich TimoAlpecin - Deceuninck,Alpecin - Deceuninck,70,40,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,7,Fedorov YevgeniyXDS Astana Team,XDS Astana Team,60,35,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,8,Tesfatsion NatnaelMovistar Team,Movistar Team,50,30,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,9,Aranburu AlexCofidis,Cofidis,40,26,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,10,Lapeira PaulDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,35,22,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,11,Sheehan RileyIsrael - Premier Tech,Israel - Premier Tech,30,20,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,12,Debruyne RamsesAlpecin - Deceuninck,Alpecin - Deceuninck,25,18,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,13,Uhlig HenriAlpecin - Deceuninck,Alpecin - Deceuninck,20,16,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,14,Schultz NickIsrael - Premier Tech,Israel - Premier Tech,15,14,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,15,Moniquet SylvainCofidis,Cofidis,10,12,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,16,Kwiatkowski MichałINEOS Grenadiers,INEOS Grenadiers,5,10,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,17,Champoussin ClémentXDS Astana Team,XDS Astana Team,5,9,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,18,Teuns DylanCofidis,Cofidis,5,8,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,19,Biesterbos FritsBEAT Cycling Club,BEAT Cycling Club,5,7,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,20,Gilmore BradyIsrael - Premier Tech,Israel - Premier Tech,5,6,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,21,Delettre AlexandreTeam TotalEnergies,Team TotalEnergies,5,5,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,22,Teunissen MikeXDS Astana Team,XDS Astana Team,5,4,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,23,Tjøtta MartinArkéa - B&B Hotels,Arkéa - B&B Hotels,5,3,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,24,Oliveira RuiUAE Team Emirates - XRG,UAE Team Emirates - XRG,5,2,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,25,De Cassan DavideTeam Polti VisitMalta,Team Polti VisitMalta,5,1,2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,26,Milesi LorenzoMovistar Team,Movistar Team,5,"",2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,27,Van Mechelen VladBahrain - Victorious,Bahrain - Victorious,5,"",2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,28,Venturini ClémentArkéa - B&B Hotels,Arkéa - B&B Hotels,5,"",2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,29,Deweirdt SiebeTeam Flanders - Baloise,Team Flanders - Baloise,5,"",2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,30,Crescioli LudovicoTeam Polti VisitMalta,Team Polti VisitMalta,5,"",2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,31,Zoccarato SamueleTeam Polti VisitMalta,Team Polti VisitMalta,3,"",2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,32,Vanhoof WardTeam Flanders - Baloise,Team Flanders - Baloise,3,"",2025-09-19 09:14:30
gp-de-wallonie,2025,99,Result,Result,2025-09-17,33,Tizza MarcoWagner Bazin WB,Wagner Bazin WB,3,"",2025-09-19 09:14:30
