RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,1,De Lie ArnaudLotto,Lotto,200,125,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,2,Brennan MatthewTeam Visma | Lease a Bike,Team Visma | Lease a Bike,150,85,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,3,Meeus JordiRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,125,60,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,4,Swift BenINEOS Grenadiers,INEOS Grenadiers,100,50,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,5,Teunissen MikeXDS Astana Team,XDS Astana Team,85,45,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,6,Trentin MatteoTudor Pro Cycling Team,Tudor Pro Cycling Team,70,40,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,7,Hermans QuintenAlpecin - Deceuninck,Alpecin - Deceuninck,60,35,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,8,Van Mechelen VladBahrain - Victorious,Bahrain - Victorious,50,30,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,9,Delettre AlexandreTeam TotalEnergies,Team TotalEnergies,40,26,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,10,Sheehan RileyIsrael - Premier Tech,Israel - Premier Tech,35,22,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,11,Jacobs JohanGroupama - FDJ,Groupama - FDJ,30,20,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,12,Vacek MathiasLidl - Trek,Lidl - Trek,25,18,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,13,Shmidt Artem INEOS Grenadiers,INEOS Grenadiers,20,16,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,14,Haller MarcoTudor Pro Cycling Team,Tudor Pro Cycling Team,15,14,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,15,Johansen Julius UAE Team Emirates - XRG,UAE Team Emirates - XRG,10,12,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,16,Kwiatkowski MichałINEOS Grenadiers,INEOS Grenadiers,5,10,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,17,Heming Miká Tudor Pro Cycling Team,Tudor Pro Cycling Team,5,9,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,18,van Aert WoutTeam Visma | Lease a Bike,Team Visma | Lease a Bike,5,8,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,19,Berckmoes JennoLotto,Lotto,5,7,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,20,Laporte ChristopheTeam Visma | Lease a Bike,Team Visma | Lease a Bike,5,6,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,21,van Poppel DannyRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,5,5,2025-09-22 22:14:11
gp-impanis-van-petegem,2025,99,Result,Result,2025-09-20,22,Jeannière EmilienTeam TotalEnergies,Team TotalEnergies,5,4,2025-09-22 22:14:11
