RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
gran-camino,2025,1,Stage 1,Normal stage,26/02,1,Cort MagnusUno-X Mobilityfav_gc,Uno-X Mobility,14,20,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,2,Mesa SantiagoEfapel Cycling,Efapel Cycling,5,12,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,3,Lonardi GiovanniTeam Polti VisitMalta,Team Polti VisitMalta,3,7,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,4,Cavia DanielBurgos Burpellet BH,Burgos Burpellet BH,"",5,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,5,Warlop JordiSoudal Quick-Step,Soudal Quick-Step,"",4,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,6,Peñuela Francisco JoelCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"",3,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,7,Macias CesarPetrolike,Petrolike,"",2,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,8,Canal CarlosMovistar Team,Movistar Team,"",1,2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,9,Prieto José JuanPetrolike,Petrolike,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,10,Magli FilippoVF Group - Bardiani CSF - Faizanè,VF Group - Bardiani CSF - Faizanè,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,11,Matias JoãoTavfer-Ovos Matinados-Mortágua,Tavfer-Ovos Matinados-Mortágua,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,12,Trueba SergioIlles Balears Arabay,Illes Balears Arabay,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,13,Fagúndez Eric AntonioBurgos Burpellet BHfav_gc,Burgos Burpellet BH,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,14,Sainbayar JambaljamtsBurgos Burpellet BHfav_gc,Burgos Burpellet BH,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,15,Pesenti ThomasSoudal Quick-Step,Soudal Quick-Step,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,16,Rota RaúlRádio Popular - Paredes - Boavista,Rádio Popular - Paredes - Boavista,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,17,Lima DanielIsrael - Premier Tech,Israel - Premier Tech,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,18,Silva PedroAnicolor / Tien 21,Anicolor / Tien 21,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,19,Alustiza NicolásEuskaltel - Euskadi,Euskaltel - Euskadi,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,20,Nilsson-Julien OscarGroupama - FDJ,Groupama - FDJ,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,21,Díaz AlexCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,22,Fernández SamuelCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,23,Arcas JorgeMovistar Team,Movistar Team,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,24,Cobo IvánEquipo Kern Pharma,Equipo Kern Pharma,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,25,Barbas RafaelTavfer-Ovos Matinados-Mortágua,Tavfer-Ovos Matinados-Mortágua,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,26,Salgueiro Carlos MiguelAPHotels & Resorts / Tavira / SC Farense,APHotels & Resorts / Tavira / SC Farense,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,27,Gonçalves HélderRádio Popular - Paredes - Boavista,Rádio Popular - Paredes - Boavista,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,28,Molenaar AlexCaja Rural - Seguros RGA,Caja Rural - Seguros RGA,"","",2025-08-25 12:51:39
gran-camino,2025,1,Stage 1,Normal stage,26/02,29,Rochas RémyGroupama - FDJfav_gc,Groupama - FDJ,"","",2025-08-25 12:51:39
