RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
il-lombardia,2025,99,Result,Result,2025-10-11,1,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,800,275,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,2,Evenepoel RemcoSoudal Quick-Step,Soudal Quick-Step,640,200,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,3,Storer MichaelTudor Pro Cycling Team,Tudor Pro Cycling Team,520,150,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,4,Simmons Quinn Lidl - Trek,Lidl - Trek,440,120,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,5,del Toro IsaacUAE Team Emirates - XRG,UAE Team Emirates - XRG,360,100,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,6,Pidcock ThomasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,280 -15,90,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,7,Seixas PaulDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,240,80,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,8,Bernal EganINEOS Grenadiers,INEOS Grenadiers,200,70,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,9,Vine JayUAE Team Emirates - XRG,UAE Team Emirates - XRG,160,60,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,10,Uijtdebroeks CianTeam Visma | Lease a Bike,Team Visma | Lease a Bike,135,50,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,11,Yates AdamUAE Team Emirates - XRG,UAE Team Emirates - XRG,110,46,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,12,Martinez LennyBahrain - Victorious,Bahrain - Victorious,95,42,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,13,Izagirre IonCofidis,Cofidis,85,38,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,14,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,65,34,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,15,Scaroni ChristianXDS Astana Team,XDS Astana Team,55,30,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,16,Piganzoli DavideTeam Polti VisitMalta,Team Polti VisitMalta,50,28,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,17,Onley OscarTeam Picnic PostNL,Team Picnic PostNL,50,26,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,18,O'Connor BenTeam Jayco AlUla,Team Jayco AlUla,50,24,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,19,Landa MikelSoudal Quick-Step,Soudal Quick-Step,50,22,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,20,Canal CarlosMovistar Team,Movistar Team,50,20,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,21,Matthews Michael Team Jayco AlUla,Team Jayco AlUla,30,19,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,22,Roglič PrimožRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,30,18,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,23,Alaphilippe JulianTudor Pro Cycling Team,Tudor Pro Cycling Team,30,17,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,24,Higuita SergioXDS Astana Team,XDS Astana Team,30,16,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,25,Rubio EinerMovistar Team,Movistar Team,30,15,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,26,Kuss SeppTeam Visma | Lease a Bike,Team Visma | Lease a Bike,30,14,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,27,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,30,13,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,28,Skujiņš TomsLidl - Trek,Lidl - Trek,30,12,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,29,Baudin AlexEF Education - EasyPost,EF Education - EasyPost,30,11,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,30,Molard RudyGroupama - FDJ,Groupama - FDJ,30,10,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,31,Quintana NairoMovistar Team,Movistar Team,15,9,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,32,Zana FilippoTeam Jayco AlUla,Team Jayco AlUla,15,8,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,33,Vlasov AleksandrRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,15,7,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,34,Garofoli GianmarcoSoudal Quick-Step,Soudal Quick-Step,15,6,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,35,Zambanini EdoardoBahrain - Victorious,Bahrain - Victorious,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,36,Svestad-Bårdseng EmbretArkéa - B&B Hotels,Arkéa - B&B Hotels,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,37,Debruyne RamsesAlpecin - Deceuninck,Alpecin - Deceuninck,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,38,Dunbar EddieTeam Jayco AlUla,Team Jayco AlUla,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,39,Majka RafałUAE Team Emirates - XRG,UAE Team Emirates - XRG,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,40,Romo JavierMovistar Team,Movistar Team,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,41,Milesi LorenzoMovistar Team,Movistar Team,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,42,Velasco SimoneXDS Astana Team,XDS Astana Team,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,43,Ulissi DiegoXDS Astana Team,XDS Astana Team,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,44,Bagioli AndreaLidl - Trek,Lidl - Trek,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,45,Bisiaux LéoDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,46,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,47,Vergallito LucaAlpecin - Deceuninck,Alpecin - Deceuninck,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,48,Berthet ClémentDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,49,Prodhomme NicolasDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,50,Kulset JohannesUno-X Mobility,Uno-X Mobility,15,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,51,Tiberi AntonioBahrain - Victorious,Bahrain - Victorious,10,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,52,Hamilton ChrisTeam Picnic PostNL,Team Picnic PostNL,10,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,53,Masnada FaustoXDS Astana Team,XDS Astana Team,10,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,54,Mollema BaukeLidl - Trek,Lidl - Trek,10,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,55,Aranburu AlexCofidis,Cofidis,10,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,56,Vermaerke KevinTeam Picnic PostNL,Team Picnic PostNL,5,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,57,Vervaeke Louis Soudal Quick-Step,Soudal Quick-Step,5,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,58,Bais Mattia Team Polti VisitMalta,Team Polti VisitMalta,5,5,2025-10-12 00:45:07
il-lombardia,2025,99,Result,Result,2025-10-11,59,Conci NicolaXDS Astana Team,XDS Astana Team,5,5,2025-10-12 00:45:07
