RaceName,RaceYear,StageNumber,StageName,StageType,StageDate,RiderRank,RiderName,TeamName,UCIPoints,PCSPoints,UpdateTimeStamp
la-fleche-wallone,2025,99,Result,Result,2025-04-23,1,Pogačar TadejUAE Team Emirates - XRG,UAE Team Emirates - XRG,400,225,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,2,Vauquelin KévinArkéa - B&B Hotels,Arkéa - B&B Hotels,320,150,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,3,Pidcock ThomasQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,260,110,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,4,Martinez LennyBahrain - Victorious,Bahrain - Victorious,220,90,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,5,Healy BenEF Education - EasyPost,EF Education - EasyPost,180,80,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,6,Buitrago SantiagoBahrain - Victorious,Bahrain - Victorious,140,70,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,7,Grégoire RomainGroupama - FDJ,Groupama - FDJ,120,60,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,8,Nys ThibauLidl - Trek,Lidl - Trek,100,50,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,9,Evenepoel RemcoSoudal Quick-Step,Soudal Quick-Step,80,46,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,10,Schmid MauroTeam Jayco AlUla,Team Jayco AlUla,68,42,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,11,Martin GuillaumeGroupama - FDJ,Groupama - FDJ,56,38,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,12,Benoot TiesjTeam Visma | Lease a Bike,Team Visma | Lease a Bike,48,34,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,13,Christen JanUAE Team Emirates - XRG,UAE Team Emirates - XRG,40,30,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,14,Blackmore JosephIsrael - Premier Tech,Israel - Premier Tech,32,26,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,15,McNulty BrandonUAE Team Emirates - XRG,UAE Team Emirates - XRG,28,22,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,16,Formolo DavideMovistar Team,Movistar Team,24,20,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,17,Sheffield MagnusINEOS Grenadiers,INEOS Grenadiers,24,18,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,18,Tronchon BastienDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,24,17,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,19,Tulett BenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,24,16,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,20,Laurance AxelINEOS Grenadiers,INEOS Grenadiers,24,15,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,21,Champoussin ClémentXDS Astana Team,XDS Astana Team,16,14,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,22,Alaphilippe JulianTudor Pro Cycling Team,Tudor Pro Cycling Team,16,13,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,23,Scaroni ChristianXDS Astana Team,XDS Astana Team,16,12,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,24,Barré LouisIntermarché - Wanty,Intermarché - Wanty,16,11,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,25,Nordhagen JørgenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,16,10,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,26,Madouas ValentinGroupama - FDJ,Groupama - FDJ,16,9,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,27,Holter ÅdneUno-X Mobility,Uno-X Mobility,16,8,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,28,Velasco SimoneXDS Astana Team,XDS Astana Team,16,7,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,29,Vansevenant MauriSoudal Quick-Step,Soudal Quick-Step,16,6,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,30,Glivar GalAlpecin - Deceuninck,Alpecin - Deceuninck,16,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,31,García Pierna RaúlArkéa - B&B Hotels,Arkéa - B&B Hotels,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,32,Matthews MichaelTeam Jayco AlUla,Team Jayco AlUla,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,33,Camprubí MarcelQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,34,Ryan ArchieEF Education - EasyPost,EF Education - EasyPost,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,35,Pacher QuentinGroupama - FDJ,Groupama - FDJ,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,36,Geniets KevinGroupama - FDJ,Groupama - FDJ,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,37,O'Connor BenTeam Jayco AlUla,Team Jayco AlUla,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,38,Zana FilippoTeam Jayco AlUla,Team Jayco AlUla,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,39,Valter AttilaTeam Visma | Lease a Bike,Team Visma | Lease a Bike,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,40,Verstrynge EmielAlpecin - Deceuninck,Alpecin - Deceuninck,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,41,Van Eetvelt LennertLotto,Lotto,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,42,Zambanini EdoardoBahrain - Victorious,Bahrain - Victorious,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,43,Van Gils MaximRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,44,Jungels BobINEOS Grenadiers,INEOS Grenadiers,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,45,Powless NeilsonEF Education - EasyPost,EF Education - EasyPost,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,46,Aranburu AlexCofidis,Cofidis,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,47,Martínez Daniel FelipeRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,48,Geens JonasTeam Flanders - Baloise,Team Flanders - Baloise,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,49,Hirschi MarcTudor Pro Cycling Team,Tudor Pro Cycling Team,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,50,Guerreiro RubenMovistar Team,Movistar Team,8,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,51,Labrosse JordanDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,4,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,52,Vader MilanQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,4,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,53,Oliveira NelsonMovistar Team,Movistar Team,4,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,54,Barguil WarrenTeam Picnic PostNL,Team Picnic PostNL,4,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,55,Adrià RogerRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,4,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,56,Godon DorianDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,2,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,57,Bilbao PelloBahrain - Victorious,Bahrain - Victorious,2,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,58,Dversnes Fredrik Uno-X Mobility,Uno-X Mobility,2,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,59,Moniquet SylvainCofidis,Cofidis,2,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,60,Voisard YannisTudor Pro Cycling Team,Tudor Pro Cycling Team,2,5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,61,Thompson ReubenLotto,Lotto,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,62,Cavagna RémiGroupama - FDJ,Groupama - FDJ,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,63,Van Hemelen VincentTeam Flanders - Baloise,Team Flanders - Baloise,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,64,Koerdt BjornTeam Picnic PostNL,Team Picnic PostNL,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,65,Vermoote JelleWagner Bazin WB,Wagner Bazin WB,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,66,Hatherly AlanTeam Jayco AlUla,Team Jayco AlUla,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,67,Gregaard JonasLotto,Lotto,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,68,Onley OscarTeam Picnic PostNL,Team Picnic PostNL,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,69,Løland Sakarias KollerUno-X Mobility,Uno-X Mobility,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,70,Delaplace AnthonyArkéa - B&B Hotels,Arkéa - B&B Hotels,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,71,Rouland LouisArkéa - B&B Hotels,Arkéa - B&B Hotels,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,72,Hessmann MichelMovistar Team,Movistar Team,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,73,Leknessund Andreas Uno-X Mobility,Uno-X Mobility,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,74,Livyns ArjenLotto,Lotto,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,75,Leonard MichaelINEOS Grenadiers,INEOS Grenadiers,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,76,Sweeny HarryEF Education - EasyPost,EF Education - EasyPost,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,77,Donovan MarkQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,78,Bonneu KamielIntermarché - Wanty,Intermarché - Wanty,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,79,Ulissi DiegoXDS Astana Team,XDS Astana Team,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,80,Moscon GianniRed Bull - BORA - hansgrohe,Red Bull - BORA - hansgrohe,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,81,Sivakov PavelUAE Team Emirates - XRG,UAE Team Emirates - XRG,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,82,Großschartner FelixUAE Team Emirates - XRG,UAE Team Emirates - XRG,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,83,Molard RudyGroupama - FDJ,Groupama - FDJ,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,84,Scotson CallumDecathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,85,Schultz NickIsrael - Premier Tech,Israel - Premier Tech,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,86,Vervaeke LouisSoudal Quick-Step,Soudal Quick-Step,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,87,Foldager AndersTeam Jayco AlUla,Team Jayco AlUla,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,88,Bennett GeorgeIsrael - Premier Tech,Israel - Premier Tech,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,89,Foss Tobias INEOS Grenadiers,INEOS Grenadiers,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,90,Lecerf JuniorSoudal Quick-Step,Soudal Quick-Step,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,91,Kuypers GerbenIntermarché - Wanty,Intermarché - Wanty,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,92,Martinez Juan GuillermoTeam Picnic PostNL,Team Picnic PostNL,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,93,Christen FabioQ36.5 Pro Cycling Team,Q36.5 Pro Cycling Team,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,94,Graat TijmenTeam Visma | Lease a Bike,Team Visma | Lease a Bike,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,95,Konrad PatrickLidl - Trek,Lidl - Trek,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,96,Meens JohanWagner Bazin WB,Wagner Bazin WB,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,97,Van Hautegem LeanderWagner Bazin WB,Wagner Bazin WB,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,98,Weiss FabianTudor Pro Cycling Team,Tudor Pro Cycling Team,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,99,Baudin AlexEF Education - EasyPost,EF Education - EasyPost,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,100,Combaud RomainTeam Picnic PostNL,Team Picnic PostNL,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,101,Bagioli AndreaLidl - Trek,Lidl - Trek,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,102,Currie LoganLotto,Lotto,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,103,Clynhens ToonTeam Flanders - Baloise,Team Flanders - Baloise,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,104,Desal Ceriel Wagner Bazin WB,Wagner Bazin WB,"",5,2025-08-25 12:56:23
la-fleche-wallone,2025,99,Result,Result,2025-04-23,105,Sepúlveda EduardoLotto,Lotto,"",5,2025-08-25 12:56:23
